"ASV_ID","Reference_ID","Percent_identity","Alignment_length","Mismatches","Gap_opens","Query_length","Reference_length","E_value","Bit_score","Query_coverage","Functional_category","High_confidence"
"ASV00001","Smiliscasila-ns_4",100,253,0,0,253,1285,9.05e-130,457,100,"non-significant",TRUE
"ASV00006","Atelopuslimosus-inhibitory_54",100,253,0,0,253,1400,9.05e-130,457,100,"inhibitory",TRUE
"ASV00007","Atelopuslimosus-enhancing_2",97.638,254,5,1,253,1377,4.39e-121,428,100,"enhancing",TRUE
"ASV00008","Craugastorcrassidigitus-inhibitory_181",100,253,0,0,253,887,9.05e-130,457,100,"inhibitory",TRUE
"ASV00010","Agalychniscallidryas-ns_8",99.606,254,0,1,253,1050,1.34e-127,451,100,"non-significant",TRUE
"ASV00014","Litoriaserrata-inhibitory_7",98.814,253,2,1,253,1406,2.43e-124,440,100,"inhibitory",TRUE
"ASV00015","Colostethuspanamensis-inhibitory_8",100,253,0,0,253,1195,9.05e-130,457,100,"inhibitory",TRUE
"ASV00022","Colostethuspanamensis-inhibitory_8",99.605,253,1,0,253,1195,3.85e-128,453,100,"inhibitory",TRUE
"ASV00023","Bufotyphonius-inhibitory_9",100,253,0,0,253,1248,9.05e-130,457,100,"inhibitory",TRUE
"ASV00029","Espadaranaprosoblepon-inhibitory_26",100,253,0,0,253,1395,9.05e-130,457,100,"inhibitory",TRUE
"ASV00040","Ranamuscosa-inhibitory_70",97.233,253,7,0,253,1390,5.35e-120,425,100,"inhibitory",TRUE
"ASV00044","Hemidactylumscutatum-ns_8",98.814,253,3,0,253,1296,1.99e-125,444,100,"non-significant",TRUE
"ASV00050","Smiliscasila-inhibitory_6",99.605,253,1,0,253,1262,3.85e-128,453,100,"inhibitory",TRUE
"ASV00051","Atelopuslimosus-enhancing_2",97.244,254,6,1,253,1377,1.87e-119,424,100,"enhancing",TRUE
"ASV00054","Hyalinobatrachiumcolymbiphyllum-enhancing_1",100,253,0,0,253,1280,9.05e-130,457,100,"enhancing",TRUE
"ASV00057","Bufotyphonius-inhibitory_17",100,253,0,0,253,1197,9.05e-130,457,100,"inhibitory",TRUE
"ASV00058","Litoriaserrata-inhibitory_45",100,253,0,0,253,1386,9.05e-130,457,100,"inhibitory",TRUE
"ASV00059","Craugastorcrassidigitus-inhibitory_173",100,253,0,0,253,1274,9.05e-130,457,100,"inhibitory",TRUE
"ASV00067","Atelopuselegans-ns_3",97.233,253,7,0,253,1054,5.35e-120,425,100,"non-significant",TRUE
"ASV00069","Atelopuselegans-ns_3",97.628,253,6,0,253,1054,1.26e-121,430,100,"non-significant",TRUE
"ASV00070","Smiliscasila-ns_4",99.605,253,1,0,253,1285,3.85e-128,453,100,"non-significant",TRUE
"ASV00073","Atelopuselegans-ns_3",98.024,253,5,0,253,1054,1.03e-122,434,100,"non-significant",TRUE
"ASV00083","Atelopuslimosus-inhibitory_18",97.628,253,6,0,253,1360,1.26e-121,430,100,"inhibitory",TRUE
"ASV00085","Agalychniscallidryas-ns_10",99.606,254,0,1,253,1369,1.34e-127,451,100,"non-significant",TRUE
"ASV00091","Smiliscasordida-inhibitory_33",100,253,0,0,253,1287,9.05e-130,457,100,"inhibitory",TRUE
"ASV00092","Craugastorcrassidigitus-inhibitory_184",100,253,0,0,253,1320,9.05e-130,457,100,"inhibitory",TRUE
"ASV00093","Craugastorcrassidigitus-inhibitory_176",100,253,0,0,253,1292,9.05e-130,457,100,"inhibitory",TRUE
"ASV00094","Atelopuslimosus-ns_6",97.233,253,7,0,253,1343,5.35e-120,425,100,"non-significant",TRUE
"ASV00096","Atelopuslimosus-inhibitory_18",100,253,0,0,253,1360,9.05e-130,457,100,"inhibitory",TRUE
"ASV00100","Colostethuspanamensis-inhibitory_8",99.605,253,1,0,253,1195,3.85e-128,453,100,"inhibitory",TRUE
"ASV00105","Hemidactylumscutatum-ns_8",98.419,253,4,0,253,1296,2.43e-124,439,100,"non-significant",TRUE
"ASV00112","Atelopuslimosus-enhancing_2",99.606,254,0,1,253,1377,1.34e-127,451,100,"enhancing",TRUE
"ASV00116","Smiliscasila-inhibitory_3",100,253,0,0,253,1362,9.05e-130,457,100,"inhibitory",TRUE
"ASV00129","Agalychniscallidryas-ns_47",98.814,253,3,0,253,1246,1.99e-125,444,100,"non-significant",TRUE
"ASV00131","Hemidactylumscutatum-ns_6",99.605,253,1,0,253,1287,3.85e-128,453,100,"non-significant",TRUE
"ASV00132","Litoriaeucnemis-inhibitory_9",100,253,0,0,253,1348,9.05e-130,457,100,"inhibitory",TRUE
"ASV00134","Craugastorcrassidigitus-inhibitory_152",100,253,0,0,253,1285,9.05e-130,457,100,"inhibitory",TRUE
"ASV00136","Agalychniscallidryas-ns_47",100,253,0,0,253,1246,9.05e-130,457,100,"non-significant",TRUE
"ASV00144","Atelopusaff.limosus-ns_29",99.209,253,2,0,253,1407,4.69e-127,448,100,"non-significant",TRUE
"ASV00148","Colostethuspanamensis-ns_6",100,253,0,0,253,1246,9.05e-130,457,100,"non-significant",TRUE
"ASV00149","Dendrobatesauratus-inhibitory_2",100,253,0,0,253,1238,9.05e-130,457,100,"inhibitory",TRUE
"ASV00157","Allobatestalamancae-inhibitory_4",99.605,253,1,0,253,1232,3.85e-128,453,100,"inhibitory",TRUE
"ASV00160","Espadaranaprosoblepon-ns_74",100,253,0,0,253,1355,9.05e-130,457,100,"non-significant",TRUE
"ASV00173","Silverstoneiaflotator-inhibitory_23",100,253,0,0,253,1185,9.05e-130,457,100,"inhibitory",TRUE
"ASV00178","Agalychniscallidryas-ns_8",99.213,254,1,1,253,1050,1.64e-126,446,100,"non-significant",TRUE
"ASV00184","Litoriarheocola-inhibitory_10",100,253,0,0,253,1385,9.05e-130,457,100,"inhibitory",TRUE
"ASV00195","Hyalinobatrachiumcolymbiphyllum-enhancing_1",99.605,253,1,0,253,1280,3.85e-128,453,100,"enhancing",TRUE
"ASV00197","Atelopuslimosus-ns_1",100,253,0,0,253,1348,9.05e-130,457,100,"non-significant",TRUE
"ASV00198","Atelopuslimosus-ns_1",99.209,253,2,0,253,1348,4.69e-127,448,100,"non-significant",TRUE
"ASV00199","Atelopuslimosus-ns_6",97.628,253,6,0,253,1343,1.26e-121,430,100,"non-significant",TRUE
"ASV00205","Smiliscasordida-enhancing_9",98.419,253,4,0,253,1286,2.43e-124,439,100,"enhancing",TRUE
"ASV00209","Hemidactylumscutatum-inhibitory_22",100,253,0,0,253,1406,9.05e-130,457,100,"inhibitory",TRUE
"ASV00212","Atelopuslimosus-ns_8",97.233,253,7,0,253,656,5.35e-120,425,100,"non-significant",TRUE
"ASV00217","Hemidactylumscutatum-ns_8",97.628,253,6,0,253,1296,1.26e-121,430,100,"non-significant",TRUE
"ASV00227","Allobatestalamancae-ns_3",97.628,253,6,0,253,1224,1.26e-121,430,100,"non-significant",TRUE
"ASV00231","Agalychniscallidryas-ns_47",97.628,253,6,0,253,1246,1.26e-121,430,100,"non-significant",TRUE
"ASV00233","Espadaranaprosoblepon-ns_4",100,253,0,0,253,1331,9.05e-130,457,100,"non-significant",TRUE
