"ASV_ID","Reference_ID","Percent_identity","Alignment_length","Mismatches","Gap_opens","Query_length","Reference_length","E_value","Bit_score","Query_coverage","Functional_category","High_confidence"
"ASV00001","Smiliscasila-ns_4",100,253,0,0,253,1285,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Craugastorcrassidigitus-enhancing_5",100,253,0,0,253,1287,9.05e-130,457,100,"enhancing",TRUE
"ASV00001","Craugastorcrassidigitus-inhibitory_159",100,253,0,0,253,1304,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Strabomantisbufoniformis-inhibitory_8",100,253,0,0,253,1193,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Dendrobatesauratus-inhibitory_10",100,253,0,0,253,1279,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Colostethuspanamensis-inhibitory_7",100,253,0,0,253,1252,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Dendrobatesauratus-inhibitory_6",100,253,0,0,253,1289,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Allobatestalamancae-inhibitory_7",100,253,0,0,253,1236,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Silverstoneiaflotator-inhibitory_24",100,253,0,0,253,1280,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Silverstoneiaflotator-ns_3",100,253,0,0,253,1291,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Smiliscasordida-inhibitory_41",100,253,0,0,253,1288,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Craugastorcrassidigitus-inhibitory_128",100,253,0,0,253,1293,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Smiliscasordida-ns_2",100,253,0,0,253,1283,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Smiliscasordida-inhibitory_14",100,253,0,0,253,1323,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Smiliscasordida-ns_1",100,253,0,0,253,1239,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Craugastorcrassidigitus-inhibitory_99",100,253,0,0,253,1234,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Smiliscasordida-inhibitory_7",100,253,0,0,253,1284,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litoriaserrata-inhibitory_36",100,253,0,0,253,1390,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litorianannotis-inhibitory_30",100,253,0,0,253,1353,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litorianannotis-inhibitory_29",100,253,0,0,253,1409,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litoriaserrata-inhibitory_15",100,253,0,0,253,1405,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litoriaserrata-inhibitory_14",100,253,0,0,253,1408,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Litoriaserrata-inhibitory_13",100,253,0,0,253,1395,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Atelopuslimosus-inhibitory_61",100,253,0,0,253,1398,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Atelopuslimosus-inhibitory_60",100,253,0,0,253,1397,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Atelopuslimosus-inhibitory_13",100,253,0,0,253,1399,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Espadaranaprosoblepon-ns_88",100,253,0,0,253,1240,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Espadaranaprosoblepon-ns_77",100,253,0,0,253,1278,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Espadaranaprosoblepon-ns_57",100,253,0,0,253,1285,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Espadaranaprosoblepon-ns_27",100,253,0,0,253,1379,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Silverstoneiaflotator-inhibitory_1",100,253,0,0,253,1381,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Agalychniscallidryas-inhibitory_10",100,253,0,0,253,1438,9.05e-130,457,100,"inhibitory",TRUE
"ASV00001","Agalychniscallidryas-ns_20",100,253,0,0,253,1439,9.05e-130,457,100,"non-significant",TRUE
"ASV00001","Craugastorcrassidigitus-inhibitory_176",99.605,253,1,0,253,1292,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Bufotyphonius-inhibitory_21",99.605,253,1,0,253,1282,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Bufotyphonius-inhibitory_16",99.605,253,1,0,253,1247,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Bufotyphonius-inhibitory_9",99.605,253,1,0,253,1248,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Silverstoneiaflotator-inhibitory_58",99.605,253,1,0,253,1246,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Silverstoneiaflotator-inhibitory_40",99.605,253,1,0,253,1288,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Silverstoneiaflotator-ns_9",99.605,253,1,0,253,1301,3.85e-128,453,100,"non-significant",TRUE
"ASV00001","Smiliscasordida-inhibitory_43",99.605,253,1,0,253,1286,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Smiliscasordida-inhibitory_33",99.605,253,1,0,253,1287,3.85e-128,453,100,"inhibitory",TRUE
"ASV00001","Craugastorcrassidigitus-ns_7",99.605,253,1,0,253,1342,3.85e-128,453,100,"non-significant",TRUE
"ASV00001","Craugastorcrassidigitus-inhibitory_104",99.605,253,1,0,253,1293,3.85e-128,453,100,"inhibitory",TRUE
