"SampleID","Filtered_R1_reads","Filtered_R2_reads"
"220604_01",15285,15285
"220604_02",24547,24547
"220604_03",81058,81058
"220604_04",37981,37981
"220604_05",51568,51568
"220604_06",54745,54745
"220604_07",277469,277469
"220606_02",50881,50881
"220606_04",6847,6847
"220607_01",30550,30550
"220607_02",25487,25487
"220607_03",62305,62305
"220607_04",45774,45774
"220609_01",30739,30739
"220609_02",192792,192792
"220609_03",113803,113803
"220609_04",40065,40065
"220609_05",1,1
"220609_07",281976,281976
"220707_11",62603,62603
"220707_12",44077,44077
"220707_13",47189,47189
"220707_14",35036,35036
"220707_15",31145,31145
"220707_16",51631,51631
"220707_17",97757,97757
"220707_18",136677,136677
"220707_19",50074,50074
"220707_20",50376,50376
"220708_01",33375,33375
"220708_02",57250,57250
"220708_03",45438,45438
"220708_04",103438,103438
"220708_05",16522,16522
"220708_06",74724,74724
"220708_07",65816,65816
"220708_08",53695,53695
"220708_09",98518,98518
"220708_10",42102,42102
"250607_01",39849,39849
"250607_02",65983,65983
"250607_03",64179,64179
"250607_04",39812,39812
"250607_05",55092,55092
"250607_06",4,4
"250607_07",116019,116019
"250607_08",71371,71371
"250607_09",34161,34161
"250607_10",28167,28167
"MC-2",65023,65023
"MC-3",32455,32455
"NTC-2",26221,26221
"NTC-3",5980,5980
