"SampleID","Filtered","Denoised_F","Denoised_R","Merged","Nonchim"
"220604_01",15285,14963,15158,13373,11934
"220604_02",24547,24286,24493,20738,16004
"220604_03",81058,79110,79722,70256,69324
"220604_04",37981,37631,37794,33893,33611
"220604_05",51568,51144,51349,46373,44102
"220604_06",54745,54336,54556,49449,45872
"220604_07",277469,275159,276448,258413,238050
"220606_02",50881,50196,50542,44899,44338
"220606_04",6847,6702,6728,5781,5772
"220607_01",30550,29373,29711,25307,25072
"220607_02",25487,25102,25270,21945,21914
"220607_03",62305,59815,60625,49889,49334
"220607_04",45774,44979,45384,41308,39089
"220609_01",30739,30512,30561,26039,25422
"220609_02",192792,191456,192009,176894,171284
"220609_03",113803,112925,113395,104898,101417
"220609_04",40065,38887,39392,33565,33301
"220609_05",1,1,1,1,1
"220609_07",281976,280089,280823,258612,250578
"220707_11",62603,61548,61646,55430,51808
"220707_12",44077,41827,42440,34366,33809
"220707_13",47189,44952,45506,37631,36838
"220707_14",35036,33654,34189,29496,27592
"220707_15",31145,29462,29890,23657,22669
"220707_16",51631,48665,49521,38222,38100
"220707_17",97757,94948,95873,81180,79942
"220707_18",136677,133260,134235,116714,112666
"220707_19",50074,48488,48892,41858,40604
"220707_20",50376,46836,47737,36883,36759
"220708_01",33375,32318,32717,28555,28364
"220708_02",57250,56209,56601,51107,48787
"220708_03",45438,44109,44535,39906,33713
"220708_04",103438,102732,103066,89888,87426
"220708_05",16522,16028,16088,14773,14263
"220708_06",74724,73690,74280,67995,56746
"220708_07",65816,63355,64215,55829,53799
"220708_08",53695,51580,52060,45189,44677
"220708_09",98518,94453,95538,80996,76907
"220708_10",42102,41158,41409,37028,36769
"250607_01",39849,39553,39649,36015,31731
"250607_02",65983,65519,65421,61183,48081
"250607_03",64179,63525,63825,57192,49802
"250607_04",39812,39584,39702,33000,22675
"250607_05",55092,54696,54837,45683,34295
"250607_06",4,1,1,0,0
"250607_07",116019,115390,115732,106422,100299
"250607_08",71371,70897,71102,61660,51778
"250607_09",34161,33782,33884,29920,25236
"250607_10",28167,27718,27711,25497,24065
"MC-2",65023,64722,64910,53362,49577
"MC-3",32455,32293,32366,28008,26670
"NTC-2",26221,25932,26185,22233,22175
"NTC-3",5980,5941,5937,5026,5026
