"SampleID","Final_depth"
"220604_01",11934
"220604_02",16004
"220604_03",69324
"220604_04",33611
"220604_05",44102
"220604_06",45872
"220604_07",238050
"220606_02",44338
"220606_04",5772
"220607_01",25072
"220607_02",21914
"220607_03",49334
"220607_04",39089
"220609_01",25422
"220609_02",171284
"220609_03",101417
"220609_04",33301
"220609_05",1
"220609_07",250578
"220707_11",51808
"220707_12",33809
"220707_13",36838
"220707_14",27592
"220707_15",22669
"220707_16",38100
"220707_17",79942
"220707_18",112666
"220707_19",40604
"220707_20",36759
"220708_01",28364
"220708_02",48787
"220708_03",33713
"220708_04",87426
"220708_05",14263
"220708_06",56746
"220708_07",53799
"220708_08",44677
"220708_09",76907
"220708_10",36769
"250607_01",31731
"250607_02",48081
"250607_03",49802
"250607_04",22675
"250607_05",34295
"250607_06",0
"250607_07",100299
"250607_08",51778
"250607_09",25236
"250607_10",24065
"MC-2",49577
"MC-3",26670
"NTC-2",22175
"NTC-3",5026
