"SampleID","Existing_depth","Rebuilt_depth","Difference"
"220604_01",12003,11934,-69
"220604_02",16079,16004,-75
"220604_03",69473,69324,-149
"220604_04",33579,33611,32
"220604_05",44144,44102,-42
"220604_06",46017,45872,-145
"220604_07",238911,238050,-861
"220606_02",44330,44338,8
"220606_04",5776,5772,-4
"220607_01",24694,25072,378
"220607_02",22015,21914,-101
"220607_03",49318,49334,16
"220607_04",39144,39089,-55
"220609_01",25406,25422,16
"220609_02",172100,171284,-816
"220609_03",101178,101417,239
"220609_04",33403,33301,-102
"220609_05",1,1,0
"220609_07",251332,250578,-754
"220707_11",52139,51808,-331
"220707_12",33862,33809,-53
"220707_13",36958,36838,-120
"220707_14",27717,27592,-125
"220707_15",22776,22669,-107
"220707_16",38276,38100,-176
"220707_17",79986,79942,-44
"220707_18",112223,112666,443
"220707_19",40461,40604,143
"220707_20",36839,36759,-80
"220708_01",28231,28364,133
"220708_02",48832,48787,-45
"220708_03",33838,33713,-125
"220708_04",87364,87426,62
"220708_05",14269,14263,-6
"220708_06",57015,56746,-269
"220708_07",53859,53799,-60
"220708_08",44759,44677,-82
"220708_09",76735,76907,172
"220708_10",37099,36769,-330
"250607_01",32395,31731,-664
"250607_02",48161,48081,-80
"250607_03",49980,49802,-178
"250607_04",23018,22675,-343
"250607_05",35659,34295,-1364
"250607_06",0,0,0
"250607_07",100804,100299,-505
"250607_08",51852,51778,-74
"250607_09",25465,25236,-229
"250607_10",24302,24065,-237
"MC-2",51244,49577,-1667
"MC-3",26676,26670,-6
"NTC-2",22387,22175,-212
"NTC-3",5036,5026,-10
