Sample.ID,Species,Life.stage,Sex,Body.mass_g,Country,Province,Locality,Lat,Long,Sampling.date,Sampling.season,Days.past.rain,Sample.type
220604_01,Agalychnis callidryas,Adult,Male,6.99,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.04,Wet,2,skin swab
220604_02,Agalychnis callidryas,Adult,Male,5.50,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.04,Wet,2,skin swab
220604_03,Agalychnis callidryas,Adult,Female,14.98,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.04,Wet,2,skin swab
220604_04,Agalychnis callidryas,Adult,Male,6.31,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.04,Wet,2,skin swab
220604_05,Agalychnis callidryas,Adult,Male,7.20,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.04,Wet,2,skin swab
220604_06,Agalychnis callidryas,Adult,Male,3.98,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.04,Wet,2,skin swab
220604_07,Agalychnis callidryas,Adult,Male,5.60,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.923900,-83.192090,2022.06.04,Wet,2,skin swab
220606_02,Agalychnis callidryas,Adult,Male,4.50,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.06,Wet,0,skin swab
220606_04,Agalychnis callidryas,Adult,Male,4.84,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924590,-83.191700,2022.06.06,Wet,0,skin swab
220606_06,Agalychnis callidryas,Adult,Male,5.90,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.06,Wet,0,skin swab
220607_01,Agalychnis callidryas,Adult,Male,5.90,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.923640,-83.192040,2022.06.07,Wet,0,skin swab
220607_02,Agalychnis callidryas,Adult,Male,4.64,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.923640,-83.192040,2022.06.07,Wet,0,skin swab
220607_03,Agalychnis callidryas,Adult,Male,6.27,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.923900,-83.192090,2022.06.07,Wet,0,skin swab
220607_04,Agalychnis callidryas,Adult,Male,4.56,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.07,Wet,0,skin swab
220609_01,Agalychnis callidryas,Adult,Male,5.34,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.09,Wet,0,skin swab
220609_02,Agalychnis callidryas,Adult,Male,4.73,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924409,-83.189766,2022.06.09,Wet,0,skin swab
220609_03,Agalychnis callidryas,Adult,Male,5.94,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.09,Wet,0,skin swab
220609_04,Agalychnis callidryas,Adult,Male,4.91,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.09,Wet,0,skin swab
220609_05,Agalychnis callidryas,Adult,Male,5.06,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924975,-83.190697,2022.06.09,Wet,0,skin swab
220609_07,Agalychnis callidryas,Adult,Male,5.31,Costa Rica,Limón,"Veragua Rainforest, Las Brisas de Veragua",9.924590,-83.191700,2022.06.09,Wet,0,skin swab
220707_11,Agalychnis callidryas,Adult,Male,4.02,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_12,Agalychnis callidryas,Adult,Male,3.72,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_13,Agalychnis callidryas,Adult,Male,3.81,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_14,Agalychnis callidryas,Adult,Male,3.97,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_15,Agalychnis callidryas,Adult,Male,3.67,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_16,Agalychnis callidryas,Adult,Male,4.00,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_17,Agalychnis callidryas,Adult,Male,3.76,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_18,Agalychnis callidryas,Adult,Male,3.88,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_19,Agalychnis callidryas,Adult,Male,4.31,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220707_20,Agalychnis callidryas,Adult,Male,3.80,Panama,Panamá Oeste,PN Altos de Campana,8.677350,-79.928671,2022.07.07,Wet,1,skin swab
220708_01,Agalychnis callidryas,Adult,Male,2.85,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_02,Agalychnis callidryas,Adult,Male,3.04,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_03,Agalychnis callidryas,Adult,Male,2.62,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_04,Agalychnis callidryas,Adult,Male,2.45,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_05,Agalychnis callidryas,Adult,Male,3.05,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_06,Agalychnis callidryas,Adult,Male,2.83,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_07,Agalychnis callidryas,Adult,Male,2.46,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_08,Agalychnis callidryas,Adult,Male,3.42,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_09,Agalychnis callidryas,Adult,Male,2.50,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
220708_10,Agalychnis callidryas,Adult,Male,3.00,Panama,Panamá Este,"PN Soberanía, Las Cumbres",9.102481,-79.682517,2022.07.08,Wet,1,skin swab
250607_01,Agalychnis callidryas,Adult,Male,5.89,Costa Rica,Alajuela,"Lost Iguana Resort, La Fortuna, San Carlos",10.484028,-84.755533,2025.06.07,Wet,0,skin swab
