species_event,country,DOD_raw,DOD_low,DOD_high,LYO_raw,LYO_low,LYO_high,status,elevation_m,longitude,latitude,wave,source
Atelopus andinus,Peru,,,,2001,2001,2001,Stable,"1000-2000",-75.88,-8.11,,[14]
A. arthuri,Ecuador,1988,1988,1988,1988,1988,1988,Decline,"2200-3000",-78.97,-1.82,"3a,b",[14]
A. balios,Ecuador,,,,1995,1995,1995,Decline,"200-460",-79.50,-2.68,,[14]
A. bomolochos,Ecuador,1980,1980,1980,2002,2002,2002,Decline,"2500-2800",-78.61,-2.80,"3a,b","[14,46]"
A. carbonerensis,Venezuela,1995,1995,1995,1995,1995,1995,Decline,"2300-2600",-71.38,8.63,2,[14]
A. certus,Panama,,,,2003,2003,2003,Stable,"50-1150",-78.35,7.94,,[14]
A. chiriquiensis,Costa Rica,1993,1993,1993,1996,1996,1996,Decline,"1400-2100",-83.04,9.13,1,[5]
A. chrysocorallus,Venezuela,1988,1988,1988,1988,1988,1988,Decline,"2000-2700",-70.38,9.17,2,[14]
A. coynei,Ecuador,1984,1984,1984,1984,1984,1984,Decline,"900-1380",-78.63,0.33,"3a,b",[14]
A. cruciger,Venezuela,1977,1977,1977,2004,2004,2004,Decline,"30-2200",-67.91,10.31,2,[53]
A. elegans (Isla Gorgona; cf. gracilis),Colombia,,,,2002,2002,2002,Stable,"70-90",-78.18,2.97,,[14]
A. elegans Mainland,Ecuador,1994,1994,1994,1994,1994,1994,Decline,"300-1140",-79.11,0.40,"3a,b",[14]
A. eusebianus,Colombia,1991,1991,1991,2004,2004,2004,Decline,"2820-3250",-76.50,2.36,"3a,b",[14]
A. exiguus,Ecuador,1988,1988,1988,2004,2004,2004,Decline,"3000-4000",-79.10,-2.94,"3a,b",[14]
A. farci,Colombia,1995,1995,1995,2003,2003,2003,Decline,2090,-74.23,4.66,3b,"[1,70]"
A. flavescens,"French Guiana, Brazil",,,,2000,2000,2000,Stable,"0-300",-52.60,4.93,,[14]
A. franciscus,French Guiana,,,,2000,2000,2000,Stable,"5-200",-52.95,4.52,,[14]
A. glyphus,"Panama, Colombia",,,,2002,2002,2002,Stable,"884-1500",-77.72,7.80,,[14]
A. guanujo,Ecuador,1988,1988,1988,1988,1988,1988,Decline,"2600-2923",-78.98,-1.59,"3a,b",[14]
A. ignescens,Ecuador,1988,1988,1988,1988,1988,1988,Decline,"2800-4200",-78.48,-0.75,"3a,b",[14]
