"Metric","Site_1","Site_2","Pair","N_site_1","N_site_2","Centroid_distance","Bootstrap_SE","Bootstrap_bias","CI95_low","CI95_high","Basic_CI95_low","Basic_CI95_high","Percentile_CI95_low","Percentile_CI95_high","CI_method","Bootstrap_replicates","Bootstrap_unit"
"CLR-Aitchison","Lost Iguana","Veragua","Lost Iguana vs Veragua",9,18,19.986165186428,1.64605813654855,2.61288938970855,16.7599505223337,23.2123798505223,13.7388073391174,20.1277190978125,19.8446112750434,26.2335230337386,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"CLR-Aitchison","Lost Iguana","Altos de Campana","Lost Iguana vs Altos de Campana",9,10,29.8634108492619,1.56204678327148,2.03053554666799,26.8018554118831,32.9249662866406,24.5573057538659,30.6580737779255,29.0687479205983,35.1695159446579,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"CLR-Aitchison","Lost Iguana","Soberanía","Lost Iguana vs Soberanía",9,10,21.3142728223408,1.63964999537459,2.9867905528839,18.1006178841553,24.5279277605262,14.7722797802783,21.146964603094,21.4815810415876,27.8562658644032,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"CLR-Aitchison","Veragua","Altos de Campana","Veragua vs Altos de Campana",18,10,25.8070874143315,2.01431665024646,2.07011737639194,21.8590993263891,29.7550755022739,19.6226035575839,27.4990237347527,24.1151510939103,31.9915712710791,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"CLR-Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,19.686784488006,1.79121882252188,2.88316459960087,16.1760601074328,23.1975088685791,12.7596752236908,19.7801726148774,19.5933963611345,26.6138937523212,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"CLR-Aitchison","Altos de Campana","Soberanía","Altos de Campana vs Soberanía",10,10,21.0584374321378,1.74980653200822,2.98966825974323,17.6288796494888,24.4879952147869,14.1469157912269,20.9616144474664,21.1552604168093,27.9699590730488,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Lost Iguana","Veragua","Lost Iguana vs Veragua",9,18,10.4619131801201,1.89389912763373,0.195727929771303,6.74993909960621,14.1738872606341,6.63865846600411,14.0716504511828,6.85217590905747,14.2851678942362,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Lost Iguana","Altos de Campana","Lost Iguana vs Altos de Campana",9,10,19.4249461380223,1.41193888508335,0.0720230583759118,16.6575967748873,22.1922955011573,16.7604471397203,22.2299825972532,16.6199096787915,22.0894451363243,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Lost Iguana","Soberanía","Lost Iguana vs Soberanía",9,10,11.1956507174781,1.84467012849694,0.310887572571524,7.58016370226725,14.811137732689,7.36656401970429,14.5095017691538,7.88179966580248,15.024737415252,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Veragua","Altos de Campana","Veragua vs Altos de Campana",18,10,13.623583190234,1.59321654870998,0.170285955059603,10.5009361351892,16.7462302452787,10.3472668187231,16.5853224211175,10.6618439593505,16.8998995617448,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,8.78776838308595,1.9352948021787,0.436952026894602,4.99466027134814,12.5808764948238,4.50656259260972,12.0010796521546,5.57445711401731,13.0689741735622,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
"Robust Aitchison","Altos de Campana","Soberanía","Altos de Campana vs Soberanía",10,10,8.59453310790597,1.88079622825885,0.318079329888718,4.90824023825985,12.2808259775521,4.49510621437337,11.8839226181512,5.30514359766079,12.6939600014386,"normal bootstrap using within-locality bootstrap SE",9999,"frog samples resampled independently within locality"
