"Site_1","Site_2","Pair","N_site_1","N_site_2","Kernel","p","KRV","R2","Permutations","Method","p_FDR_BH","Significant_FDR_0.05"
"Lost Iguana","Veragua","Lost Iguana vs Veragua",9,18,"CLR-Aitchison",9.9999999999989e-05,2.56284018580986e-06,0.145047366787917,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Lost Iguana","Veragua","Lost Iguana vs Veragua",9,18,"Robust Aitchison",0.000499999999999945,9.05967311232951e-06,0.109870009036885,9999,"Binary MiRKAT; label permutation; intercept-only model",0.000749999999999917,TRUE
"Lost Iguana","Altos de Campana","Lost Iguana vs Altos de Campana",9,10,"CLR-Aitchison",9.9999999999989e-05,7.91465834458106e-06,0.578832028246929,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Lost Iguana","Altos de Campana","Lost Iguana vs Altos de Campana",9,10,"Robust Aitchison",9.9999999999989e-05,2.54515756336889e-05,0.80463892783006,9999,"Binary MiRKAT; label permutation; intercept-only model",0.000299999999999967,TRUE
"Lost Iguana","Soberanía","Lost Iguana vs Soberanía",9,10,"CLR-Aitchison",9.9999999999989e-05,6.39604084595616e-06,0.23898515940186,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Lost Iguana","Soberanía","Lost Iguana vs Soberanía",9,10,"Robust Aitchison",0.000900000000000012,2.8245224354922e-05,0.200724993726767,9999,"Binary MiRKAT; label permutation; intercept-only model",0.00108000000000001,TRUE
"Veragua","Altos de Campana","Veragua vs Altos de Campana",18,10,"CLR-Aitchison",9.9999999999989e-05,2.81781535380014e-06,0.319127256834332,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Veragua","Altos de Campana","Veragua vs Altos de Campana",18,10,"Robust Aitchison",9.9999999999989e-05,9.90708995766291e-06,0.287561345393134,9999,"Binary MiRKAT; label permutation; intercept-only model",0.000299999999999967,TRUE
"Veragua","Soberanía","Veragua vs Soberanía",18,10,"CLR-Aitchison",9.9999999999989e-05,2.25651054911126e-06,0.144935440887748,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Veragua","Soberanía","Veragua vs Soberanía",18,10,"Robust Aitchison",0.00239999999999996,6.14523531595204e-06,0.0766870261263742,9999,"Binary MiRKAT; label permutation; intercept-only model",0.00239999999999996,TRUE
"Altos de Campana","Soberanía","Altos de Campana vs Soberanía",10,10,"CLR-Aitchison",9.9999999999989e-05,5.73066539872382e-06,0.201684476859348,9999,"Binary MiRKAT; label permutation; intercept-only model",9.9999999999989e-05,TRUE
"Altos de Campana","Soberanía","Altos de Campana vs Soberanía",10,10,"Robust Aitchison",0.000399999999999956,2.52809710599267e-05,0.0831171440097594,9999,"Binary MiRKAT; label permutation; intercept-only model",0.000749999999999917,TRUE
