"taxon","structural_zero (Site = Lost Iguana)","structural_zero (Site = Veragua)","structural_zero (Site = Altos de Campana)","structural_zero (Site = Soberanía)"
"Staphylococcus",FALSE,FALSE,FALSE,FALSE
"Acinetobacter",FALSE,FALSE,FALSE,FALSE
"Unclassified_Alcaligenaceae",FALSE,FALSE,TRUE,FALSE
"Citrobacter",TRUE,TRUE,TRUE,TRUE
"Pseudomonas",FALSE,FALSE,FALSE,FALSE
"Unclassified_Bacillaceae",FALSE,FALSE,FALSE,FALSE
"Chryseobacterium",FALSE,FALSE,FALSE,FALSE
"Stenotrophomonas",FALSE,FALSE,FALSE,FALSE
"Sphingobacterium",FALSE,TRUE,TRUE,FALSE
"Amnibacterium",TRUE,FALSE,FALSE,FALSE
"Salmonella",TRUE,TRUE,TRUE,FALSE
"Klebsiella",FALSE,FALSE,FALSE,TRUE
"Curtobacterium",FALSE,FALSE,FALSE,FALSE
"Micrococcus",FALSE,FALSE,FALSE,FALSE
"Unclassified_Bacteria",TRUE,FALSE,TRUE,FALSE
"Brachybacterium",FALSE,FALSE,TRUE,FALSE
"Brevibacterium",FALSE,FALSE,TRUE,FALSE
"Luteibacter",TRUE,FALSE,FALSE,FALSE
"Bosea",FALSE,FALSE,FALSE,FALSE
"Cellulomonas",TRUE,TRUE,TRUE,TRUE
"Serratia",FALSE,FALSE,TRUE,TRUE
"Unclassified_Microbacteriaceae",TRUE,FALSE,FALSE,FALSE
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",FALSE,FALSE,FALSE,FALSE
"Lactococcus",TRUE,FALSE,TRUE,TRUE
"Unclassified_Comamonadaceae",FALSE,FALSE,TRUE,FALSE
"Brevundimonas",FALSE,FALSE,FALSE,FALSE
"Pantoea",TRUE,TRUE,FALSE,TRUE
"Burkholderia-Caballeronia-Paraburkholderia",FALSE,FALSE,FALSE,FALSE
"Novosphingobium",FALSE,FALSE,FALSE,FALSE
"Duganella",TRUE,FALSE,TRUE,TRUE
"Flavobacterium",FALSE,FALSE,TRUE,FALSE
"Pseudactinotalea",TRUE,TRUE,TRUE,FALSE
"Leucobacter",TRUE,TRUE,TRUE,TRUE
"Comamonas",TRUE,TRUE,TRUE,TRUE
"Streptomyces",FALSE,TRUE,FALSE,FALSE
"Paenibacillus",FALSE,FALSE,TRUE,FALSE
"Escherichia-Shigella",TRUE,FALSE,TRUE,TRUE
"Pseudoclavibacter",TRUE,TRUE,TRUE,TRUE
"Unclassified_Staphylococcaceae",TRUE,FALSE,TRUE,TRUE
"Aurantimicrobium",TRUE,TRUE,TRUE,TRUE
"Aquabacterium",TRUE,TRUE,TRUE,TRUE
"Piscinibacter",TRUE,TRUE,FALSE,TRUE
