"Tree_order","Sample_ID","Site"
1,"220708_05","Soberanía"
2,"220708_10","Soberanía"
3,"220604_03","Veragua"
4,"220707_17","Altos de Campana"
5,"220708_07","Soberanía"
6,"250607_04","Lost Iguana"
7,"250607_02","Lost Iguana"
8,"220708_02","Soberanía"
9,"220708_04","Soberanía"
10,"220609_07","Veragua"
11,"250607_09","Lost Iguana"
12,"220604_07","Veragua"
13,"250607_07","Lost Iguana"
14,"250607_05","Lost Iguana"
15,"250607_08","Lost Iguana"
16,"220604_01","Veragua"
17,"220708_06","Soberanía"
18,"220707_11","Altos de Campana"
19,"220707_14","Altos de Campana"
20,"220606_02","Veragua"
21,"220607_04","Veragua"
22,"220609_03","Veragua"
23,"220609_04","Veragua"
24,"220604_05","Veragua"
25,"220607_03","Veragua"
26,"220604_06","Veragua"
27,"220609_02","Veragua"
28,"250607_10","Lost Iguana"
29,"250607_01","Lost Iguana"
30,"250607_03","Lost Iguana"
31,"220604_02","Veragua"
32,"220609_01","Veragua"
33,"220604_04","Veragua"
34,"220607_02","Veragua"
35,"220707_12","Altos de Campana"
36,"220707_15","Altos de Campana"
37,"220708_01","Soberanía"
38,"220708_08","Soberanía"
39,"220708_09","Soberanía"
40,"220707_16","Altos de Campana"
41,"220708_03","Soberanía"
42,"220707_13","Altos de Campana"
43,"220707_20","Altos de Campana"
44,"220707_18","Altos de Campana"
45,"220707_19","Altos de Campana"
46,"220606_04","Veragua"
47,"220607_01","Veragua"
