"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_01","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.6202128364814
"250607_02","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.7940933084934
"250607_03","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.5449908439718
"250607_04","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",10.278243778514
"250607_05","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.0982471696292
"250607_07","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.3693479014151
"250607_08","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.3440135001128
"250607_09","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",10.6742975492822
"250607_10","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.3174360591685
"250607_01","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.5812444995647
"250607_02","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.4968199375469
"250607_03","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.3237293156422
"250607_04","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.8111723026743
"250607_05","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",11.9923970882902
"250607_07","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.4405056074154
"250607_08","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.6790451088168
"250607_09","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.1863316063639
"250607_10","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.584738370249
"250607_01","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.0039364773321
"250607_02","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.1745378850362
"250607_03","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.3472938924672
"250607_04","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.9707174301289
"250607_05","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.8563313211727
"250607_07","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",23.0344120511433
"250607_08","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.0770985502608
"250607_09","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.202201050365
"250607_10","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.2870890211965
"250607_01","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.0918560540067
"250607_02","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.5843753009313
"250607_03","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.9221026367962
"250607_04","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.7389880733745
"250607_05","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.2974135123643
"250607_07","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",20.1412663350573
"250607_08","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.0794735845189
"250607_09","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.4636850800757
"250607_10","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.2052695579446
"250607_01","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.4465518210764
"250607_02","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.7139187203447
"250607_03","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.2079066380537
"250607_04","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.8632247366937
"250607_05","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.7451138558683
"250607_07","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.576816274365
"250607_08","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.3188770927743
"250607_09","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.6323086954281
"250607_10","220604_05","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.835701623757
"250607_01","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.4840573886958
"250607_02","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.1843492318681
"250607_03","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.1102630622038
"250607_04","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.0782260749768
"250607_05","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.6235767359937
"250607_07","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.9889921898101
"250607_08","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.9960162306269
"250607_09","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.1715263195054
"250607_10","220604_06","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.7366004858731
"250607_01","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.0289758244547
"250607_02","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.9402584011946
"250607_03","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.3570132239907
"250607_04","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.2683357713302
"250607_05","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.6104533557356
"250607_07","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.4056645762638
"250607_08","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.8829055627609
"250607_09","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.7906865310646
"250607_10","220604_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.0809069944867
"250607_01","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.5764823290217
"250607_02","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.985614617304
"250607_03","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.0227361567921
"250607_04","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.9741205096509
"250607_05","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.5208902948067
"250607_07","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.9824202199833
"250607_08","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.0970057021934
"250607_09","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.917232985951
"250607_10","220606_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.5838555369932
"250607_01","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.6256219016036
"250607_02","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.7232573262179
"250607_03","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.9196626778251
"250607_04","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.5642444057515
"250607_05","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.4826373845891
"250607_07","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.369083187515
"250607_08","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.1897328268
"250607_09","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.9400917390684
"250607_10","220606_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.9390905307127
"250607_01","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.4757399955275
"250607_02","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.3443687506389
"250607_03","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.4224152071411
"250607_04","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.0678841014313
"250607_05","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.3597021083879
"250607_07","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.3813000050746
"250607_08","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.9392549306035
"250607_09","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.117985541563
"250607_10","220607_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.2070240361363
"250607_01","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.7899811352591
"250607_02","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.5939708157822
"250607_03","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.0622958207531
"250607_04","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.3643377066683
"250607_05","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.5664497027523
"250607_07","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.4668716107946
"250607_08","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.931788006031
"250607_09","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.4473668356613
"250607_10","220607_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.9691570911352
"250607_01","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.1796162975366
"250607_02","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.0848289229752
"250607_03","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.5607213612871
"250607_04","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.248943982388
"250607_05","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.4462305771056
"250607_07","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.2209442101063
"250607_08","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.5499977489456
"250607_09","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.6969532424891
"250607_10","220607_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.2484563309121
"250607_01","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",11.802312104532
"250607_02","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.8004165707274
"250607_03","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.9366347186272
"250607_04","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.5681693979372
"250607_05","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",11.4031771505609
"250607_07","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.6934898192701
"250607_08","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.8353502198379
"250607_09","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.6906632197333
"250607_10","220607_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.0756545800684
"250607_01","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",11.9311823702381
"250607_02","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.6960062789976
"250607_03","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.4063315903512
"250607_04","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.7278010834675
"250607_05","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.0034330023607
"250607_07","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.7791810527705
"250607_08","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.8425161740062
"250607_09","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.3744526710047
"250607_10","220609_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.2753279330147
"250607_01","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.2552221542262
"250607_02","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.5203259674725
"250607_03","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.1665898734586
"250607_04","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.3451391347002
"250607_05","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.1608136614376
"250607_07","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.3212484483865
"250607_08","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.8949559570297
"250607_09","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.7831428598746
"250607_10","220609_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.2249301974158
"250607_01","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.7509434731671
"250607_02","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.9792178175865
"250607_03","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.7777842324115
"250607_04","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.9942450559434
"250607_05","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.4216069419096
"250607_07","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",19.9763864960052
"250607_08","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.1674724650949
"250607_09","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.959889740984
"250607_10","220609_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.8647849823455
"250607_01","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.9052642235197
"250607_02","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.4808409175554
"250607_03","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.5789127547252
"250607_04","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.6016050787669
"250607_05","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",13.0956150982261
"250607_07","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.504575633725
"250607_08","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.6275130044769
"250607_09","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",12.2906481904238
"250607_10","220609_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.8198600343482
"250607_01","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",18.7498280319545
"250607_02","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",21.6664437706257
"250607_03","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",17.8723004308096
"250607_04","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.8603030610409
"250607_05","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",14.7663708826149
"250607_07","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.5399599148925
"250607_08","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",16.9992438623952
"250607_09","220609_07","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",15.3167784140774
