"Metric","Pair","Site_1","Site_2","N_cross_sample_pairs","Mean_distance","Median_distance","SD_distance","Q1","Q3","Note"
"CLR-Aitchison","Campana vs Soberanía","Campana","Soberanía",100,14.1555126794097,14.2251779438991,1.89574269348973,12.8672337864206,15.3249488772697,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Campana vs Soberanía","Campana","Soberanía",100,4.78220596164931,4.53981663809154,1.86707742947225,3.35576130437348,6.03800708645166,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Campana","Lost","Campana",90,15.9552263406173,15.8428328216968,1.98596796446012,14.6749040791174,17.3317594358426,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Campana","Lost","Campana",90,6.17001150427665,6.14022475433917,1.87733015375573,4.63729836814022,7.75163920382956,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Soberanía","Lost","Soberanía",90,15.3147317630063,15.1671321765741,2.80185909297129,13.4505247399544,16.9672073879634,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Soberanía","Lost","Soberanía",90,6.57996976020819,6.60935612554673,2.408422753805,5.13631452357254,8.46573045720307,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Veragua","Lost","Veragua",162,15.6715975148953,15.5703633673866,2.21190927936805,14.0665902616945,17.0576348782944,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Veragua","Lost","Veragua",162,5.44609923595609,5.31117691031731,2.36011928240594,3.67600040674788,6.86691045729542,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Veragua vs Campana","Veragua","Campana",180,13.6693627208298,13.6635199662749,1.90014956952785,12.3908458255592,15.0689204455171,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Veragua vs Campana","Veragua","Campana",180,4.57716629644616,4.14865714474302,2.00569950179644,3.41428264251514,5.64383302829204,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,15.7486926294595,15.5749808672411,2.64531643410593,13.7687701162559,17.6151366146142,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,5.30162490888075,4.9784713767543,2.44287882913677,3.30071043922998,6.77670969641285,"Cross-sample pairs are descriptive and non-independent"
