"Metric","Site_1","Site_2","Pair","N_site_1","N_site_2","PERMANOVA_R2","PERMANOVA_pseudo_F","PERMANOVA_p","Betadisper_F","Betadisper_p","Permutations","PERMANOVA_p_FDR_BH","Betadisper_p_FDR_BH","Interpretation_flag"
"CLR-Aitchison","Lost","Veragua","Lost vs Veragua",9,18,0.170844783178047,5.15117012206935,1e-04,2.81335783429464,0.1042,9999,0.00015,0.20745,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Lost","Campana","Lost vs Campana",9,10,0.348244603740206,9.08340505894896,2e-04,1.12457495431126,0.3082,9999,0.00024,0.36984,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Lost","Soberanía","Lost vs Soberanía",9,10,0.194417743653887,4.10274880818138,1e-04,2.35438369487635,0.1383,9999,0.00015,0.20745,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Veragua","Campana","Veragua vs Campana",18,10,0.0879425801807135,2.50697712119002,4e-04,9.52478711259666,0.0025,9999,4e-04,0.0075,"Location effect significant; dispersion also differs"
"CLR-Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,0.127669779509804,3.80522672410638,1e-04,1.05894246294495e-06,0.9993,9999,0.00015,0.9993,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Campana","Soberanía","Campana vs Soberanía",10,10,0.151831624030151,3.22220128688206,1e-04,9.9165792806081,1e-04,9999,0.00015,6e-04,"Location effect significant; dispersion also differs"
"Robust Aitchison","Lost","Veragua","Lost vs Veragua",9,18,0.102618849068976,2.85884233701895,0.0397,0.0516062133605837,0.8322,9999,0.0794,0.8322,"No FDR-significant location effect"
"Robust Aitchison","Lost","Campana","Lost vs Campana",9,10,0.33609421886558,8.60604303061195,3e-04,2.03603230370531,0.1671,9999,0.0018,0.5013,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Lost","Soberanía","Lost vs Soberanía",9,10,0.246930493121077,5.57427746670564,0.0013,0.129817125767765,0.728,9999,0.0039,0.8322,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Veragua","Campana","Veragua vs Campana",18,10,0.0693456417720391,1.93733223310322,0.1259,1.43775213515153,0.2537,9999,0.18885,0.5074,"No FDR-significant location effect"
"Robust Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,0.0603288810489625,1.66925520603848,0.1787,0.400586545425438,0.5446,9999,0.21444,0.8169,"No FDR-significant location effect"
"Robust Aitchison","Campana","Soberanía","Campana vs Soberanía",10,10,0.0726929691456412,1.41104661248605,0.2509,3.71966910529629,0.0666,9999,0.2509,0.3996,"No FDR-significant location effect"
