"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220604_01","220604_02","Veragua","Veragua",0.541698546289212,"Veragua vs Veragua"
"220604_01","220604_03","Veragua","Veragua",0.91259572665853,"Veragua vs Veragua"
"220604_02","220604_03","Veragua","Veragua",0.901697485948281,"Veragua vs Veragua"
"220604_01","220604_04","Veragua","Veragua",0.554344577694722,"Veragua vs Veragua"
"220604_02","220604_04","Veragua","Veragua",0.516273372789861,"Veragua vs Veragua"
"220604_03","220604_04","Veragua","Veragua",0.819362596919757,"Veragua vs Veragua"
"220604_01","220604_05","Veragua","Veragua",0.498363301639777,"Veragua vs Veragua"
"220604_02","220604_05","Veragua","Veragua",0.499502414355249,"Veragua vs Veragua"
"220604_03","220604_05","Veragua","Veragua",0.790612290433938,"Veragua vs Veragua"
"220604_04","220604_05","Veragua","Veragua",0.529450560244726,"Veragua vs Veragua"
"220604_01","220604_06","Veragua","Veragua",0.336614355370103,"Veragua vs Veragua"
"220604_02","220604_06","Veragua","Veragua",0.464237335119358,"Veragua vs Veragua"
"220604_03","220604_06","Veragua","Veragua",0.863735464919576,"Veragua vs Veragua"
"220604_04","220604_06","Veragua","Veragua",0.469294824743652,"Veragua vs Veragua"
"220604_05","220604_06","Veragua","Veragua",0.314631941183479,"Veragua vs Veragua"
"220604_01","220604_07","Veragua","Veragua",0.412097229763933,"Veragua vs Veragua"
"220604_02","220604_07","Veragua","Veragua",0.7248004335971,"Veragua vs Veragua"
"220604_03","220604_07","Veragua","Veragua",0.82687431688332,"Veragua vs Veragua"
"220604_04","220604_07","Veragua","Veragua",0.669987733435537,"Veragua vs Veragua"
"220604_05","220604_07","Veragua","Veragua",0.626718933155335,"Veragua vs Veragua"
"220604_06","220604_07","Veragua","Veragua",0.481350763005816,"Veragua vs Veragua"
"220604_01","220606_02","Veragua","Veragua",0.503123940625712,"Veragua vs Veragua"
"220604_02","220606_02","Veragua","Veragua",0.536640960159881,"Veragua vs Veragua"
"220604_03","220606_02","Veragua","Veragua",0.780324085998119,"Veragua vs Veragua"
"220604_04","220606_02","Veragua","Veragua",0.576895371871061,"Veragua vs Veragua"
