"Community","Metric","Permutation","R2","pseudo_F"
"Whole community","CLR-Aitchison",1,0.0484615928112775,2.2918377860863
"Whole community","CLR-Aitchison",2,0.0495995762464657,2.34846373729077
"Whole community","CLR-Aitchison",3,0.0371849515039814,1.73794834251189
"Whole community","CLR-Aitchison",4,0.0426396538040156,2.00424472227712
"Whole community","CLR-Aitchison",5,0.0378543345470994,1.77046482230695
"Whole community","CLR-Aitchison",6,0.0421175909156567,1.97862657590329
"Whole community","CLR-Aitchison",7,0.049536593550439,2.34532617946512
"Whole community","CLR-Aitchison",8,0.0504233397309877,2.38953881538288
"Whole community","CLR-Aitchison",9,0.042213247349033,1.98331844270008
"Whole community","CLR-Aitchison",10,0.0403587478115379,1.8925235314525
"Whole community","CLR-Aitchison",11,0.0429715788936781,2.02054715154659
"Whole community","CLR-Aitchison",12,0.0401883351063413,1.88419785457153
"Whole community","CLR-Aitchison",13,0.0408387023511698,1.91598807239977
"Whole community","CLR-Aitchison",14,0.0424349231885825,1.99419505757757
"Whole community","CLR-Aitchison",15,0.0431560304971235,2.0296113413136
"Whole community","CLR-Aitchison",16,0.0374164482524785,1.74918859594556
"Whole community","CLR-Aitchison",17,0.0531751457096565,2.52726947976882
"Whole community","CLR-Aitchison",18,0.0462799930883913,2.18365943241728
"Whole community","CLR-Aitchison",19,0.0409807483658917,1.92293707693859
"Whole community","CLR-Aitchison",20,0.0416730609440244,1.95683504872398
"Whole community","CLR-Aitchison",21,0.0436465868788261,2.05373492957704
"Whole community","CLR-Aitchison",22,0.0367445552136325,1.71657995141692
"Whole community","CLR-Aitchison",23,0.0531683235501813,2.52692703388337
"Whole community","CLR-Aitchison",24,0.0460195684740926,2.17077888906144
"Whole community","Robust Aitchison",1,0.302019764348046,19.4717396015769
"Whole community","Robust Aitchison",2,0.316823430140327,20.8687694884548
"Whole community","Robust Aitchison",3,0.143460309617761,7.5369699796612
"Whole community","Robust Aitchison",4,0.211026549070126,12.0361397420453
"Whole community","Robust Aitchison",5,0.159966045996042,8.56926322502908
"Whole community","Robust Aitchison",6,0.212116954465393,12.1150759684972
"Whole community","Robust Aitchison",7,0.318422417915126,21.0232982756706
"Whole community","Robust Aitchison",8,0.33004701699626,22.1688926560818
"Whole community","Robust Aitchison",9,0.156590844457257,8.35488677620769
"Whole community","Robust Aitchison",10,0.128882141805026,6.6577631564615
"Whole community","Robust Aitchison",11,0.176270870950925,9.6296087063822
"Whole community","Robust Aitchison",12,0.136469696086097,7.11166278246401
"Whole community","Robust Aitchison",13,0.190907651721536,10.6178785966128
"Whole community","Robust Aitchison",14,0.214971172928491,12.3227357368126
"Whole community","Robust Aitchison",15,0.159202219448626,8.52059798551104
"Whole community","Robust Aitchison",16,0.0880182563812498,4.34309301131366
"Whole community","Robust Aitchison",17,0.357021536144828,24.986791983963
"Whole community","Robust Aitchison",18,0.266936485053783,16.3862224520907
"Whole community","Robust Aitchison",19,0.199186025281466,11.1928255757729
"Whole community","Robust Aitchison",20,0.211413602820393,12.0641342038657
"Whole community","Robust Aitchison",21,0.173903577116829,9.47305998849969
"Whole community","Robust Aitchison",22,0.0876140692981601,4.32123401484763
"Whole community","Robust Aitchison",23,0.356297483826691,24.9080691303128
"Whole community","Robust Aitchison",24,0.263002572001725,16.0585577241734
"Anti-Bd genera","CLR-Aitchison",1,0.0693282850512558,3.35217324991802
"Anti-Bd genera","CLR-Aitchison",2,0.0709503103431795,3.43659117589549
"Anti-Bd genera","CLR-Aitchison",3,0.0327151167202441,1.52197173537882
"Anti-Bd genera","CLR-Aitchison",4,0.0854198629129541,4.20290543738005
"Anti-Bd genera","CLR-Aitchison",5,0.0333762625234223,1.55379156886306
"Anti-Bd genera","CLR-Aitchison",6,0.0832727103989912,4.08766272201359
"Anti-Bd genera","CLR-Aitchison",7,0.0562535508774694,2.68229861086074
"Anti-Bd genera","CLR-Aitchison",8,0.056336046573856,2.68646702739815
"Anti-Bd genera","CLR-Aitchison",9,0.027427511077063,1.26904473705058
"Anti-Bd genera","CLR-Aitchison",10,0.0722551364600805,3.50471478580567
"Anti-Bd genera","CLR-Aitchison",11,0.0277737476008153,1.28552241718682
"Anti-Bd genera","CLR-Aitchison",12,0.0714197392961754,3.46107752268167
"Anti-Bd genera","CLR-Aitchison",13,0.0719151599031664,3.48694651159783
"Anti-Bd genera","CLR-Aitchison",14,0.0304983598213157,1.41559965974504
