"Community","Permutation","linear_R2","linear_F","quadratic_model_R2","quadratic_model_F","quadratic_increment_R2","quadratic_increment_F"
"Whole community",1,0.0484615928112775,2.2918377860863,0.0891808409299984,2.1540812804852,0.0407192481187209,1.96707205747966
"Whole community",2,0.0495995762464657,2.34846373729077,0.0898420631103878,2.17162901988543,0.0402424868639221,1.94545292662467
"Whole community",3,0.0371849515039814,1.73794834251189,0.0880448037422629,2.12399215474436,0.0508598522382815,2.45388535277552
"Whole community",4,0.0426396538040156,2.00424472227712,0.0765982091277383,1.82494837834179,0.0339585553237227,1.61812165518152
"Whole community",5,0.0378543345470994,1.77046482230695,0.0915742931886551,2.21772065128139,0.0537199586415557,2.60194990355917
"Whole community",6,0.0421175909156567,1.97862657590329,0.0798836623204606,1.91001996060874,0.0377660714048039,1.80597504224527
"Whole community",7,0.0495365935504389,2.34532617946512,0.0876096947509451,2.11248768584259,0.0380731012005062,1.83607436771809
"Whole community",8,0.0504233397309876,2.38953881538288,0.091496951539765,2.21565897581348,0.0410736118087773,1.9892491529326
"Whole community",9,0.042213247349033,1.98331844270008,0.0904073780781543,2.18665177111594,0.0481941307291213,2.33130931471379
"Whole community",10,0.0403587478115378,1.8925235314525,0.0806456928073903,1.92983839623311,0.0402869449958524,1.92812016645736
"Whole community",11,0.042971578893678,2.02054715154659,0.0898420198789485,2.17162787176133,0.0468704409852705,2.26586971536261
"Whole community",12,0.0401883351063413,1.88419785457153,0.0757419243522376,1.80287560331176,0.0355535892458963,1.69255532414262
"Whole community",13,0.0408387023511698,1.91598807239977,0.0917822002266476,2.22326451374345,0.0509434978754778,2.46803564858605
"Whole community",14,0.0424349231885825,1.99419505757757,0.0799102698478215,1.91071140024713,0.037475346659239,1.79212439718656
"Whole community",15,0.0431560304971235,2.0296113413136,0.0950108939999371,2.30968489470245,0.0518548635028136,2.52115078402241
"Whole community",16,0.0374164482524785,1.74918859594556,0.0812067437450487,1.94445088732272,0.0437902954925702,2.09706915952639
"Whole community",17,0.0531751457096565,2.52726947976882,0.0919859183542158,2.22869914101419,0.0388107726445593,1.88066906767066
"Whole community",18,0.0462799930883912,2.18365943241728,0.0897154411197345,2.16826670888721,0.0434354480313433,2.09951898528303
"Whole community",19,0.0409807483658917,1.92293707693859,0.0957362888476709,2.3291859760299,0.0547555404817792,2.66431545519848
"Whole community",20,0.0416730609440245,1.95683504872398,0.0800379949729548,1.91403110104883,0.0383649340289303,1.83492045111505
"Whole community",21,0.0436465868788261,2.05373492957704,0.0928429771926221,2.25158979855177,0.049196390313796,2.38618135491925
"Whole community",22,0.0367445552136325,1.71657995141692,0.0782752593763209,1.86829715031175,0.0415307041626884,1.98253437563347
"Whole community",23,0.0531683235501813,2.52692703388337,0.0898094782322015,2.17076367403932,0.0366411546820202,1.77128938112606
"Whole community",24,0.0460195684740926,2.17077888906144,0.0913753600954785,2.2124184551189,0.0453557916213859,2.19634681220034
"Anti-Bd genera",1,0.0693282850512558,3.35217324991802,0.133497386025226,3.38942138798959,0.0641691009739707,3.25843268943319
"Anti-Bd genera",2,0.0709503103431794,3.43659117589549,0.121450201407712,3.04126690968559,0.0504998910645326,2.52916250211402
"Anti-Bd genera",3,0.0327151167202442,1.52197173537882,0.121332040022408,3.03789941374562,0.0886169233021643,4.4375632239904
"Anti-Bd genera",4,0.0854198629129541,4.20290543738005,0.125141463785451,3.14692271872027,0.039721600872497,1.99775205480907
"Anti-Bd genera",5,0.0333762625234224,1.55379156886306,0.117858597034237,2.93931236651619,0.0844823345108145,4.21386265963543
"Anti-Bd genera",6,0.0832727103989912,4.08766272201359,0.136346619643644,3.4731822978826,0.0530739092446527,2.70392273090063
"Anti-Bd genera",7,0.0562535508774694,2.68229861086074,0.117660073668547,2.93370110935639,0.0614065227910772,3.0621837708752
"Anti-Bd genera",8,0.056336046573856,2.68646702739815,0.135985184811967,3.46252635171796,0.0796491382381115,4.05613656255908
"Anti-Bd genera",9,0.0274275110770629,1.26904473705057,0.116111699460693,2.89002285308747,0.0886841883836298,4.41470295115212
"Anti-Bd genera",10,0.0722551364600804,3.50471478580567,0.139065777187068,3.55363629072539,0.0668106407269875,3.41450962697553
"Anti-Bd genera",11,0.0277737476008152,1.28552241718682,0.122167097173941,3.06171724615712,0.0943933495731262,4.73131887383871
"Anti-Bd genera",12,0.0714197392961754,3.46107752268167,0.121228754005238,3.03495659453009,0.0498090147090621,2.49393304251536
"Anti-Bd genera",13,0.0719151599031664,3.48694651159783,0.116109348807606,2.88995665959513,0.0441941889044397,2.19998289287493
"Anti-Bd genera",14,0.0304983598213157,1.41559965974505,0.0851182433700314,2.04682336331479,0.0546198835487157,2.62686938364158
"Anti-Bd genera",15,0.0813098190321202,3.98278106400414,0.127257714882146,3.2078997146668,0.0459478958500259,2.31649990137482
"Anti-Bd genera",16,0.0270309654507097,1.25018721263355,0.0812248020295634,1.94492150919805,0.0541938365788537,2.59533432632591
"Anti-Bd genera",17,0.0635610637365314,3.05438801974289,0.118362879972693,2.95357727147264,0.0548018162361617,2.73500271213221
"Anti-Bd genera",18,0.0588746544738065,2.81509733418135,0.100255482740937,2.45138545219447,0.04138082826713,2.02363716458132
"Anti-Bd genera",19,0.0730911143001401,3.54846112088232,0.131672556701662,3.33606437271302,0.0585814424015221,2.96844639146269
"Anti-Bd genera",20,0.0314095911353686,1.4592665673289,0.0828830219729915,1.98821581880269,0.051473430837623,2.46951153573423
"Anti-Bd genera",21,0.0837798000112068,4.11483069304783,0.121098736389159,3.03125312349207,0.0373189363779519,1.86827948555202
"Anti-Bd genera",22,0.0276269484056862,1.27853469017626,0.0861063172133892,2.07282205181506,0.058479368807703,2.8155268780206
"Anti-Bd genera",23,0.066317382684311,3.19624909519439,0.104469001343468,2.56643045634849,0.0381516186591571,1.87449817317462
"Anti-Bd genera",24,0.0600884154070469,2.8768436708737,0.122511329667622,3.0715487775663,0.0624229142605753,3.13007827944371
