"Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"220604_01",11934,115,1,0,1,1,1,4,4,2,4,4,2
"220604_02",16004,70,1,0,0,0,0,0,0,0,2,0,2
"220604_03",69324,334,1,0,3,15,20,5,11,13,9,7,11
"220604_04",33611,139,1,0,1,0,1,2,1,1,0,2,1
"220604_05",44102,144,1,0,0,0,1,1,2,0,0,0,2
"220604_06",45872,153,1,0,0,0,1,0,2,1,0,0,0
"220604_07",238050,364,1,0,0,1,1,0,0,0,2,2,0
"220606_02",44338,298,1,0,0,0,4,2,2,1,5,2,3
"220606_04",5772,63,1,0,1,1,0,2,1,0,2,5,3
"220607_01",25072,159,1,0,3,8,5,6,10,6,4,4,4
"220607_02",21914,170,1,0,0,1,0,0,5,0,1,1,5
"220607_03",49334,323,1,0,4,10,7,8,12,7,18,9,7
"220607_04",39089,195,1,0,1,2,2,2,2,1,3,3,4
"220609_01",25422,68,1,0,2,1,0,1,0,0,0,0,0
"220609_02",171284,242,1,0,0,0,0,2,1,1,0,2,2
"220609_03",101417,211,1,0,0,1,0,1,1,2,0,1,0
"220609_04",33301,280,1,0,2,2,1,1,6,4,5,8,5
"220609_07",250578,297,1,0,0,1,2,3,2,1,2,3,4
"220707_11",51808,275,1,0,1,3,3,2,2,6,5,4,4
"220707_12",33809,243,1,0,5,9,11,13,6,4,3,8,8
"220707_13",36838,219,1,0,8,9,5,5,5,8,5,8,2
"220707_14",27592,242,1,0,4,6,5,8,6,9,7,7,7
"220707_15",22669,185,1,0,1,14,12,6,9,8,10,6,10
"220707_16",38100,287,1,0,3,10,10,11,8,17,5,9,8
"220707_17",79942,367,1,0,6,16,13,17,6,17,5,8,11
"220707_18",112666,353,1,0,2,2,10,5,8,9,12,7,5
"220707_19",40604,231,1,0,2,13,9,9,5,2,6,5,4
"220707_20",36759,304,1,0,9,14,8,11,11,6,9,7,9
"220708_01",28364,260,1,0,2,7,5,6,5,12,6,7,9
"220708_02",48787,229,1,0,2,12,11,9,10,9,6,9,4
"220708_03",33713,241,1,0,9,16,12,17,12,11,4,6,1
"220708_04",87426,232,1,0,1,0,1,2,2,3,2,6,2
"220708_05",14263,138,1,0,9,16,9,7,3,8,3,4,7
"220708_06",56746,202,1,0,0,0,1,4,3,7,3,5,5
"220708_07",53799,332,1,0,1,7,11,13,5,10,9,8,11
"220708_08",44677,302,1,0,6,11,11,10,13,8,9,7,9
"220708_09",76907,375,1,0,11,16,16,8,10,10,9,7,3
"220708_10",36769,163,1,0,1,8,9,3,5,3,4,2,2
"250607_01",31731,132,1,0,0,0,1,2,5,4,1,3,1
"250607_02",48081,154,1,0,0,2,2,1,5,4,1,8,3
"250607_03",49802,208,1,0,1,1,2,0,2,9,7,3,3
"250607_04",22675,33,1,0,3,2,1,4,2,2,0,2,5
"250607_05",34295,80,1,0,1,3,2,5,5,3,1,6,3
"250607_07",100299,261,1,0,0,1,0,1,2,1,0,1,0
"250607_08",51778,204,1,0,1,3,0,3,1,2,5,4,2
"250607_09",25236,140,1,0,1,2,5,5,4,4,4,3,4
"250607_10",24065,117,1,0,3,12,8,7,9,3,4,2,8
