"Permutation","Statistic","Coefficient_per_10_years"
1,0.0166345229043939,0.254392579100742
2,0.0175000361104997,0.258851991934821
3,0.012873617351363,0.219809443038341
4,0.0368115165752243,0.364755475370444
5,0.0133775659129437,0.221455449699835
6,0.036249858323309,0.360536430238872
7,0.00245506647720754,0.0950741290944752
8,0.00285006258316415,0.101643420618792
9,0.00100796723858947,0.0615262633584926
10,0.0222169388521555,0.29966603308009
11,0.00121819275422002,0.066849097488039
12,0.0218093144704766,0.295670817949525
13,0.0260309854943675,-0.309505727473045
14,0.00600318364092251,-0.143785001267687
15,0.0292639209744897,-0.33744148718837
16,0.00340518594039639,-0.117555319670097
17,0.00954207331048897,-0.185039010319023
18,0.00524306487268589,-0.144974098792667
19,0.0280301082516898,-0.318667798399387
20,0.00787570813093899,-0.164682708685146
21,0.0314149543096828,-0.346826849842812
22,0.00498203647112583,-0.14218512079271
23,0.0118584595092742,-0.207085945604988
24,0.00708256715213078,-0.169192109709943
