"Site","Sample_n","Mean_distance","CI_low","CI_high","Community","Metric","Bd_arrival_year"
"Lost Iguana",9,81.5005088290708,68.6265008580807,100.390956099493,"Whole community","CLR-Aitchison",1982.91046925675
"Veragua",18,102.517011131734,86.6343924758248,125.832940132015,"Whole community","CLR-Aitchison",1989.98425233345
"Altos de Campana",10,115.004487770141,104.0745831284,135.771889253812,"Whole community","CLR-Aitchison",2008.41768959668
"Soberanía",10,99.9234424061534,89.505817573346,117.335345986879,"Whole community","CLR-Aitchison",2009.4359546082
"Lost Iguana",9,35.1013515901326,31.9141871559049,38.3913543562452,"Whole community","Robust Aitchison",1982.91046925675
"Veragua",18,26.8070242578989,19.7131270219865,36.463947638724,"Whole community","Robust Aitchison",1989.98425233345
"Altos de Campana",10,36.3852136557601,27.274964597644,45.5270344763769,"Whole community","Robust Aitchison",2008.41768959668
"Soberanía",10,19.5344396297877,13.4126596489025,30.0435164367345,"Whole community","Robust Aitchison",2009.4359546082
"Lost Iguana",9,25.0166147140892,21.6458676887484,28.6182233191866,"Anti-Bd genera","CLR-Aitchison",1982.91046925675
"Veragua",18,22.9725102634707,20.5842079394284,25.8184661222317,"Anti-Bd genera","CLR-Aitchison",1989.98425233345
"Altos de Campana",10,18.3404638793684,16.6293821161765,20.9268412280303,"Anti-Bd genera","CLR-Aitchison",2008.41768959668
"Soberanía",10,22.7486085961501,21.1278267004615,25.3861440211459,"Anti-Bd genera","CLR-Aitchison",2009.4359546082
"Lost Iguana",9,6.54349342765942,5.29551235133983,8.09431126726367,"Anti-Bd genera","Robust Aitchison",1982.91046925675
"Veragua",18,4.65364993398727,3.6906164431075,6.14824874168342,"Anti-Bd genera","Robust Aitchison",1989.98425233345
"Altos de Campana",10,4.54527609586969,3.56037488614027,6.07852453347794,"Anti-Bd genera","Robust Aitchison",2008.41768959668
"Soberanía",10,5.92180268139501,4.71759055045157,7.46629473977094,"Anti-Bd genera","Robust Aitchison",2009.4359546082
