"Tree_order","Sample_ID","Site"
1,"220708_10","Soberanía"
2,"220604_03","Veragua"
3,"250607_07","Lost Iguana"
4,"220607_02","Veragua"
5,"220604_01","Veragua"
6,"220609_03","Veragua"
7,"220604_04","Veragua"
8,"220604_06","Veragua"
9,"220604_02","Veragua"
10,"220604_05","Veragua"
11,"220606_04","Veragua"
12,"220609_01","Veragua"
13,"220707_15","Altos de Campana"
14,"220707_19","Altos de Campana"
15,"220708_05","Soberanía"
16,"220708_04","Soberanía"
17,"220708_06","Soberanía"
18,"220708_02","Soberanía"
19,"220708_03","Soberanía"
20,"220609_02","Veragua"
21,"220609_07","Veragua"
22,"220707_17","Altos de Campana"
23,"220606_02","Veragua"
24,"220609_04","Veragua"
25,"220708_07","Soberanía"
26,"220708_09","Soberanía"
27,"220707_13","Altos de Campana"
28,"220708_08","Soberanía"
29,"220707_11","Altos de Campana"
30,"220707_14","Altos de Campana"
31,"220707_20","Altos de Campana"
32,"220607_01","Veragua"
33,"220707_12","Altos de Campana"
34,"220707_16","Altos de Campana"
35,"220707_18","Altos de Campana"
36,"220708_01","Soberanía"
37,"220604_07","Veragua"
38,"220607_03","Veragua"
39,"250607_10","Lost Iguana"
40,"250607_04","Lost Iguana"
41,"250607_05","Lost Iguana"
42,"220607_04","Veragua"
43,"250607_02","Lost Iguana"
44,"250607_08","Lost Iguana"
45,"250607_09","Lost Iguana"
46,"250607_01","Lost Iguana"
47,"250607_03","Lost Iguana"
