"Community","Site","Order_q","Sample_n","Mean","SE","CI_low","CI_high","Common_coverage","Order_label"
"Anti-Bd community","Lost Iguana",0,9,19.8888888888889,1.67036626426366,16.7777777777778,22.8888888888889,1,"D0"
"Whole community","Lost Iguana",0,9,147.666666666667,23.175058432145,106.433333333333,189.444444444444,1,"D0"
"Anti-Bd community","Veragua",0,18,21.0555555555556,2.05555555555556,17.2777777777778,25.1111111111111,1,"D0"
"Whole community","Veragua",0,18,201.388888888889,22.8116956140951,160.108333333333,245.122222222222,1,"D0"
"Anti-Bd community","Altos de Campana",0,10,18.6,2.13020604115606,14.7,22.5,1,"D0"
"Whole community","Altos de Campana",0,10,270.6,18.4464389818499,237.495,306,1,"D0"
"Anti-Bd community","Soberanía",0,10,22.7,1.24766448481419,20.3,24.9,1,"D0"
"Whole community","Soberanía",0,10,247.4,23.1776712472251,204.795,291.6,1,"D0"
"Anti-Bd community","Lost Iguana",1,9,5.25756912383157,0.455269221518516,4.47521024178544,6.1625015336273,1,"D1"
"Whole community","Lost Iguana",1,9,15.5836152762436,4.3771055622299,8.65662668983056,24.3319819067346,1,"D1"
"Anti-Bd community","Veragua",1,18,10.038213960504,0.727210901010165,8.61689748030751,11.4095839361487,1,"D1"
"Whole community","Veragua",1,18,42.9902044242422,3.99027471960394,35.5881055777513,50.6873817960078,1,"D1"
"Anti-Bd community","Altos de Campana",1,10,12.1622555213075,1.19135613421366,10.0208962627134,14.4290875879226,1,"D1"
"Whole community","Altos de Campana",1,10,48.8938420465153,4.38184131252518,40.5457536961755,56.7803971936171,1,"D1"
"Anti-Bd community","Soberanía",1,10,10.4609495117466,1.62012188848695,7.56947592876221,13.6548465882173,1,"D1"
"Whole community","Soberanía",1,10,32.0495531856745,5.27806671126966,22.8805863991315,42.6615269202478,1,"D1"
"Anti-Bd community","Lost Iguana",2,9,3.24946340805282,0.210839029752567,2.86859895142974,3.64130701180369,1,"D2"
"Whole community","Lost Iguana",2,9,5.56127782547024,1.3445832890625,3.33876039876485,8.3442957347628,1,"D2"
"Anti-Bd community","Veragua",2,18,6.62647345663216,0.503100012954085,5.63726127405076,7.5883208295109,1,"D2"
"Whole community","Veragua",2,18,18.3513771519197,1.68210096027116,15.3664203367471,21.6800917165241,1,"D2"
"Anti-Bd community","Altos de Campana",2,10,9.26264754410548,0.888072969689322,7.68322117170318,10.9314662743136,1,"D2"
"Whole community","Altos de Campana",2,10,17.6072046194964,2.19773938969201,13.6529107784127,21.9276147125399,1,"D2"
"Anti-Bd community","Soberanía",2,10,7.15357828461729,1.37035186576474,4.79947807724929,9.77410395624668,1,"D2"
"Whole community","Soberanía",2,10,10.4673727900548,1.69881945768414,7.61226122004548,13.799824169004,1,"D2"
