"taxon","W","p_val","q_val","diff_abn","passed_ss","diff_robust_abn","kw.ep","kw.eBH","glm.ep","glm.eBH","ANCOMBC2_robust_FDR05","ALDEx2_FDR05","Method_agreement"
"Acinetobacter",51.5552594840396,5.41501106218553e-14,7.25611482332861e-12,TRUE,TRUE,TRUE,8.82772907168136e-07,0.000143579280604393,4.25237957671109e-11,6.92124003461347e-09,TRUE,TRUE,"Both"
"Staphylococcus",46.726096608583,2.75283076477025e-13,1.84439661239607e-11,TRUE,TRUE,TRUE,8.00242336729949e-06,0.000677666097448079,5.41410519201543e-08,3.47140527441123e-06,TRUE,TRUE,"Both"
"Actinomycetospora",46.8736102088299,1.51854905584864e-12,6.78285244945724e-11,TRUE,TRUE,TRUE,5.42050346689393e-08,1.76708413020742e-05,2.38425582832072e-09,2.03973795366442e-07,TRUE,TRUE,"Both"
"1174-901-12",41.0482455230496,5.54614831121817e-12,1.85795968425809e-10,TRUE,TRUE,TRUE,1.29897113232152e-05,0.000818566631124549,1.71967090823524e-06,3.38526213547235e-05,TRUE,TRUE,"Both"
"Pseudonocardia",32.2748772202857,1.81571187672847e-10,4.8661078296323e-09,TRUE,TRUE,TRUE,0.0037969589751522,0.019775841013667,0.133175500272835,0.260682652175792,TRUE,TRUE,"Both"
"Marmoricola",32.3108514563191,5.17238419327075e-10,1.1551658031638e-08,TRUE,TRUE,TRUE,0.00216946823657708,0.0129576980759536,0.00822614062377277,0.0282595323860334,TRUE,TRUE,"Both"
"Methylobacterium-Methylorubrum",27.5641232973261,8.42575178458817e-10,1.61292962733545e-08,TRUE,TRUE,TRUE,1.56727537956001e-05,0.000856377192669841,1.52844978652148e-07,7.48845588580447e-06,TRUE,TRUE,"Both"
"Jatrophihabitans",29.7560419108091,1.49034730267095e-09,2.49633173197384e-08,TRUE,TRUE,TRUE,0.000801175215821553,0.00694584603752513,0.0192926897002953,0.0608857576322748,TRUE,TRUE,"Both"
"Conexibacter",27.4266936167999,1.13223819917391e-08,1.61371629462528e-07,TRUE,TRUE,TRUE,0.000733763340416153,0.00658473053736294,0.00271390758017193,0.0114359397437052,TRUE,TRUE,"Both"
"Unclassified_Bacteria",22.4874561608409,1.30791553906789e-08,1.61371629462528e-07,TRUE,TRUE,TRUE,0.00484519706171034,0.0235752912533015,0.000307466039469631,0.00283784343993801,TRUE,TRUE,"Both"
"Unclassified_67-14",24.9319120406696,1.32469248066254e-08,1.61371629462528e-07,TRUE,TRUE,TRUE,0.0153026936182927,0.0556566924191396,0.0798989675251124,0.188040280912351,TRUE,FALSE,"ANCOM-BC2 only"
"Caldalkalibacillus",19.1052771939166,1.006505815011e-07,1.03747522470364e-06,TRUE,TRUE,TRUE,3.12365140642985e-05,0.00119735470368269,3.755960996282e-07,1.54634228433453e-05,TRUE,TRUE,"Both"
"Corynebacterium",19.3545288651786,9.85045851619396e-08,1.03747522470364e-06,TRUE,TRUE,TRUE,0.00119295489677706,0.00895531891072678,0.000256496926392603,0.00241425433830525,TRUE,TRUE,"Both"
"Mycobacterium",19.6526214198176,2.04748608002077e-07,1.95973667659131e-06,TRUE,TRUE,TRUE,0.00148841781756464,0.0102842553184371,0.0023011348910305,0.0116187462179925,TRUE,TRUE,"Both"
"Nesterenkonia",17.7505879233374,3.51545225570668e-07,2.9973029037104e-06,TRUE,TRUE,TRUE,3.68667031334213e-05,0.00129801983670392,3.72982338340776e-05,0.000437570328882493,TRUE,TRUE,"Both"
"Unclassified_Caulobacteraceae",19.5861594808237,3.57886913875869e-07,2.9973029037104e-06,TRUE,TRUE,TRUE,0.00167067729546604,0.0110421838468396,0.00101825854211013,0.00537400175208658,TRUE,TRUE,"Both"
"Methylocella",18.5564844804148,3.82224651374372e-07,3.01282960495093e-06,TRUE,TRUE,TRUE,0.00101947376601577,0.00808520356965151,0.00247800083679536,0.0122306137601998,TRUE,TRUE,"Both"
"Unclassified_Acetobacteraceae",18.3846496732747,4.93925869354664e-07,3.66266734585033e-06,TRUE,TRUE,TRUE,0.0127887604043253,0.0487064167541603,0.0102376554558584,0.0374962994765166,TRUE,TRUE,"Both"
"Chryseobacterium",23.439755179857,5.19333429635495e-07,3.66266734585033e-06,TRUE,TRUE,TRUE,0.0953528813018863,0.202690313800459,0.163745752831839,0.292281409732574,TRUE,FALSE,"ANCOM-BC2 only"
"Tumebacillus",19.2219086662465,7.62903685156689e-07,5.11145469054982e-06,TRUE,TRUE,TRUE,0.000465257949443872,0.00497863371150285,0.000727421037495775,0.00390755205384774,TRUE,TRUE,"Both"
"Clostridium sensu stricto 12",16.5157506381318,1.29787311867409e-06,7.24645824593032e-06,TRUE,TRUE,TRUE,0.000203667046046321,0.00310690426920626,0.00367261546635813,0.0128267816357523,TRUE,TRUE,"Both"
"Unclassified_Caloramatoraceae",17.6304721490718,1.2328057986522e-06,7.24645824593032e-06,TRUE,TRUE,TRUE,0.000866907771830419,0.00722837217981378,0.00383826349673532,0.0164767523953822,TRUE,TRUE,"Both"
"Actinoplanes",20.1927130932052,1.14812381360979e-06,7.24645824593032e-06,TRUE,TRUE,TRUE,0.00260584282810627,0.0149153494761648,0.00749169883961213,0.0306507005000732,TRUE,TRUE,"Both"
"Pseudomonas",15.7816187798892,1.27049829702888e-06,7.24645824593032e-06,TRUE,TRUE,TRUE,0.00802373117177503,0.0343949729890745,0.011935711918281,0.0399519670941317,TRUE,TRUE,"Both"
"Halomonas",16.3681332969668,1.4225042671202e-06,7.62462287176427e-06,TRUE,TRUE,TRUE,0.00034728506918417,0.00422611345972871,0.000275480002936076,0.00176137303846608,TRUE,TRUE,"Both"
"Mycoplasma",22.5759250797202,1.79842234137713e-06,9.2687920670975e-06,TRUE,FALSE,FALSE,0.326667630711854,0.46616924130698,0.294540958511173,0.434392940723093,FALSE,FALSE,"Neither"
