"taxon","lfc_(Intercept)","lfc_SiteVeragua","lfc_SiteAltos de Campana","lfc_SiteSoberanía","se_(Intercept)","se_SiteVeragua","se_SiteAltos de Campana","se_SiteSoberanía","W_(Intercept)","W_SiteVeragua","W_SiteAltos de Campana","W_SiteSoberanía","p_(Intercept)","p_SiteVeragua","p_SiteAltos de Campana","p_SiteSoberanía","q_(Intercept)","q_SiteVeragua","q_SiteAltos de Campana","q_SiteSoberanía","diff_(Intercept)","diff_SiteVeragua","diff_SiteAltos de Campana","diff_SiteSoberanía","passed_ss_(Intercept)","passed_ss_SiteVeragua","passed_ss_SiteAltos de Campana","passed_ss_SiteSoberanía","diff_robust_(Intercept)","diff_robust_SiteVeragua","diff_robust_SiteAltos de Campana","diff_robust_SiteSoberanía"
"Klebsiella",0.19504113746546,0.193319906914959,-1.08359557378071,-0.58239771081962,0.588851591192066,0.780960543349522,0.769315905638013,0.749841203501683,0.331222909783805,0.247541195981316,-1.40851835486497,-0.776694729630595,0.742344806819953,0.805857971495069,0.167325827685831,0.442276219232157,0.850206872768151,0.891380542509048,0.320309441570019,0.658325627378148,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Unclassified_Bacteria",-1.61215880870199,1.42677940548679,1.73150000806278,2.97204527308143,0.460059357397562,0.583841022037216,0.57267591881821,0.667792117525639,-3.50424088278861,2.44378067253356,3.02352508838848,4.45055458889468,0.00108323024817894,0.0187122681126407,0.00420146748556732,5.9792823623389e-05,0.0076396238555778,0.0895515688247804,0.0216537170410008,0.00716111296157636,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Caldalkalibacillus",0.146498388040993,0.846201419765259,-1.84231738876109,-0.674785780487998,0.269748830408846,0.469916505541255,0.490557927156864,0.603731241625837,0.543091837762381,1.80074845166503,-3.75555522961099,-1.11769233387825,0.589870918617985,0.0787589320222879,0.000515021640630687,0.269904343280066,0.738716851353364,0.199126356433709,0.00619034995581155,0.548398534924406,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Actinomycetospora",-2.41229680002122,3.12335844169091,1.91332338638552,1.91078476754438,0.302287416794799,0.539849739053516,0.479420215969366,0.559316389703919,-7.98014295665755,5.78560702310776,3.99091094337119,3.41628602829944,1.2098597140946e-09,1.12069048785298e-06,0.000290107007747886,0.00152538143048517,1.62121201688677e-07,0.000150172525372299,0.00555347700545954,0.018581919244092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"Staphylococcus",1.38445256089513,-1.46170051173089,-2.97255994466167,-1.20870436030882,0.294127538167893,0.527072536723002,0.47034357508476,0.626670461166786,4.70698041237086,-2.77324354787825,-6.31997565636138,-1.92877187486762,2.62666831258716e-05,0.0081746311975619,1.25143208902911e-07,0.0603770640379057,0.000391081726540755,0.0576526621301734,8.38459499649502e-06,0.226660109803427,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"Nesterenkonia",0.0418027184217377,0.771369022259712,-1.78134655793595,-0.468531106978426,0.298705710183946,0.498952547197918,0.492185873396746,0.603761206617314,0.139946164390347,1.54597671981367,-3.61925576132907,-0.776020555549536,0.889404841634937,0.129986176030659,0.000820732789332044,0.442301282637442,0.954027163329806,0.276478533144576,0.00785558526932099,0.658325627378148,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Acinetobacter",1.93858588965077,-1.44594043854112,-4.29258705881777,-2.52147202304579,0.418316134400271,0.53814374038814,0.629918575128489,0.656087990023834,4.63426038402766,-2.68690375827511,-6.8145109992068,-3.84319186052192,3.32089150808201e-05,0.010211873061674,2.38980935046951e-08,0.000395456358627171,0.000444999462082989,0.0684195495132155,3.20234452962914e-06,0.00788084910411113,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Pseudonocardia",-1.76803259039716,1.81147420728463,2.60982090531019,1.92512935049396,0.360143722091406,0.628571558374609,0.514010786104017,0.596079195267929,-4.90924173307796,2.88189018919156,5.0773660317355,3.22965365303287,1.58043096327837e-05,0.00632881212502134,9.24996320071538e-06,0.00247916755434802,0.000264722186349128,0.050455774778721,0.000413165022965287,0.0255544963294334,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Methylocella",-1.51668125096139,1.21901354806883,2.17679074898379,1.48705618483663,0.347713094180943,0.528126945664791,0.558144981258513,0.591561139535691,-4.36187557024278,2.30818283004737,3.90004536827606,2.51378274442401,0.000103534600887409,0.0268445044934007,0.000403176393701389,0.0165572623462129,0.000924909101260854,0.109004957639869,0.00557776524241,0.0964640501909798,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Alcaligenaceae",0.46573380389602,-1.79536976735895,-1.48306329627872,0.379912599258451,0.753957476719667,0.857500232473216,0.899865147030461,1.06143719106699,0.617718927494882,-2.09372510859934,-1.64809505198952,0.357922826198083,0.542578159537581,0.0470265538152868,0.112364527295615,0.723529828791861,0.699091090173422,0.14654786537787,0.231643794732498,0.890434114635503,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
