"taxon","ss_prim_(Intercept)","ss_prim_SiteVeragua","ss_prim_SiteAltos de Campana","ss_prim_SiteSoberanía","ss_global","ss_tab_pair.ss_pair_SiteVeragua","ss_tab_pair.ss_pair_SiteAltos de Campana","ss_tab_pair.ss_pair_SiteSoberanía","ss_tab_pair.ss_pair_SiteAltos de Campana_SiteVeragua","ss_tab_pair.ss_pair_SiteSoberanía_SiteVeragua","ss_tab_pair.ss_pair_SiteSoberanía_SiteAltos de Campana"
"Klebsiella",1,1,1,1,1,1,1,1,1,1,1
"Unclassified_Bacteria",0.75,1,0.75,0.5,0,1,0.75,0.5,1,1,1
"Caldalkalibacillus",1,1,0,1,0,1,0,1,0,1,1
"Actinomycetospora",0,0,0,0.25,0,0,0,0,1,1,1
"Staphylococcus",0,1,0,1,0,0.75,0,0.75,1,1,1
"Nesterenkonia",0.75,1,0,1,0,1,0,1,0,0.5,1
"Acinetobacter",0,1,0,0,0,1,0,0,0,1,1
"Pseudonocardia",0.5,1,0,0.75,0,0.75,0,0.75,1,1,1
"Methylocella",0.5,1,0,1,0,1,0,1,1,1,1
"Unclassified_Alcaligenaceae",0.5,0.25,0.25,1,0,0.25,0.25,1,1,0.25,0.25
"Unclassified_Planococcaceae",1,1,0.25,1,0,1,1,1,0,1,1
"Anoxybacillus",0.25,1,0,1,0,1,0,1,0,1,1
"Unclassified_Mitochondria",0.5,1,0,1,0,1,0,1,1,1,1
"Enterococcus",0.75,1,0,1,0,1,1,1,0.25,1,1
"Methylobacterium-Methylorubrum",0.5,0.25,0.75,0.75,0,0,0.75,0.75,1,1,1
"Tepidiphilus",1,1,0.75,1,0,1,0.75,1,0.25,1,1
"Pseudomonas",0.75,1,0,1,0,0.75,0.75,1,1,1,1
"Unclassified_Bacillaceae",1,1,0,1,0,1,0,1,0,1,1
"Clostridium sensu stricto 12",1,1,0,1,0,1,0.75,1,0.25,1,1
"Knoellia",0.75,1,1,1,0.75,1,1,1,1,1,1
"Chryseobacterium",1,1,0.75,1,0,1,0.75,1,0.75,1,0.75
"Corynebacterium",0.75,0.25,1,0.75,0,0.25,1,0.75,0.75,1,1
"Stenotrophomonas",0.25,0.75,0.25,1,0,0.25,0.25,1,1,1,1
"1174-901-12",0.25,0,0,0.5,0,0,0.25,0.25,1,1,1
"Sphingomonas",1,1,1,1,0.75,1,1,1,1,1,1
"Jatrophihabitans",0.5,0.75,0,0.75,0,0.75,0,0.75,1,1,1
"Unclassified_Caloramatoraceae",1,1,0,1,0,1,1,1,0,1,1
"Byssovorax",0.75,1,0.25,1,0,1,1,1,1,1,1
"Aureimonas",0.75,1,0.75,1,0,1,1,1,1,1,1
"Bradyrhizobium",1,1,0.5,1,0,1,0.75,1,0.25,1,0.25
"Mycoplasma",0.75,1,0.75,1,0.75,0.75,0.75,1,1,1,1
"Halomonas",1,1,0,1,0,1,0,1,0,1,1
"Curtobacterium",0.75,1,1,1,0,1,1,1,1,1,1
"Unclassified_Beijerinckiaceae",0.75,1,0.75,1,0.25,1,1,1,1,1,1
"Mycobacterium",0.5,1,0,0.5,0,1,0,0.25,1,1,1
"Unclassified_Rhizobiaceae",1,1,1,1,0.25,1,1,1,1,1,1
"Unclassified_67-14",0.75,0.75,0.25,1,0,0.75,0.25,1,1,1,1
"Haliangium",1,1,1,1,0,1,1,1,1,1,1
"Micrococcus",1,1,0,1,0,1,0,1,0,1,1
"Unclassified_Caulobacteraceae",0,0.5,0.25,0,0,0.5,0.75,0,1,1,1
"Nocardioides",0.75,1,0.75,1,0.25,1,1,1,1,1,1
"Clostridium sensu stricto 10",1,1,0.25,1,0,1,0.25,1,0,1,1
"Terriglobus",1,1,1,1,0,1,1,1,1,1,1
"Conexibacter",0,1,0,0.25,0,0.25,0,0,1,1,1
"Loriellopsis LF-B5",1,1,1,1,0,1,1,1,0.25,1,1
"Streptomyces",1,1,1,1,0.75,1,1,1,1,1,1
"Parafilimonas",1,1,1,1,0.25,1,1,1,0.25,1,1
"Aridibacter",1,1,1,1,0.25,1,1,1,1,1,1
"Devosia",0.75,1,1,0.75,0.25,1,1,0.75,1,1,1
"Bacillus",1,1,0,1,0,1,0.75,1,0,1,1
"Actinoplanes",0.5,1,0,0.75,0,0.75,0,0.75,1,1,1
"Flavobacterium",1,1,1,1,0,1,1,1,1,1,1
"Rothia",0.75,1,1,1,0.75,1,1,1,1,1,1
"Tumebacillus",1,1,0.25,1,0,1,0.25,1,0,0.75,0.75
"Psychroglaciecola",0.75,1,0.5,1,0,1,1,1,1,1,1
"Unclassified_Kineosporiaceae",0.75,1,1,0.75,0.5,1,1,0.75,1,1,1
