"taxon","structural_zero (Site = Lost Iguana)","structural_zero (Site = Veragua)","structural_zero (Site = Altos de Campana)","structural_zero (Site = Soberanía)"
"Klebsiella",FALSE,FALSE,FALSE,FALSE
"Unclassified_Bacteria",FALSE,FALSE,FALSE,FALSE
"Caldalkalibacillus",FALSE,FALSE,FALSE,FALSE
"Actinomycetospora",FALSE,FALSE,FALSE,FALSE
"Staphylococcus",FALSE,FALSE,FALSE,FALSE
"Nesterenkonia",FALSE,FALSE,FALSE,FALSE
"Acinetobacter",FALSE,FALSE,FALSE,FALSE
"Pseudonocardia",FALSE,FALSE,FALSE,FALSE
"Devriesea",TRUE,TRUE,FALSE,FALSE
"Methylocella",FALSE,FALSE,FALSE,FALSE
"Unclassified_Alcaligenaceae",FALSE,FALSE,FALSE,FALSE
"Unclassified_Planococcaceae",FALSE,FALSE,FALSE,FALSE
"Anoxybacillus",FALSE,FALSE,FALSE,FALSE
"Unclassified_Mitochondria",FALSE,FALSE,FALSE,FALSE
"Enterococcus",FALSE,FALSE,FALSE,FALSE
"Methylobacterium-Methylorubrum",FALSE,FALSE,FALSE,FALSE
"Tepidiphilus",FALSE,FALSE,FALSE,FALSE
"Pseudomonas",FALSE,FALSE,FALSE,FALSE
"Bacteroides",TRUE,FALSE,TRUE,FALSE
"Streptococcus",TRUE,FALSE,TRUE,TRUE
"Aerococcus",FALSE,TRUE,FALSE,TRUE
"Candidatus Branchiomonas",FALSE,TRUE,FALSE,FALSE
"Unclassified_Bacillaceae",FALSE,FALSE,FALSE,FALSE
"Clostridium sensu stricto 12",FALSE,FALSE,FALSE,FALSE
"Knoellia",FALSE,FALSE,FALSE,FALSE
"Chryseobacterium",FALSE,FALSE,FALSE,FALSE
"Corynebacterium",FALSE,FALSE,FALSE,FALSE
"Stenotrophomonas",FALSE,FALSE,FALSE,FALSE
"Sphingobacterium",FALSE,FALSE,TRUE,FALSE
"1174-901-12",FALSE,FALSE,FALSE,FALSE
"Sphingomonas",FALSE,FALSE,FALSE,FALSE
"Unclassified_Enterobacteriaceae",TRUE,FALSE,TRUE,TRUE
"Jatrophihabitans",FALSE,FALSE,FALSE,FALSE
"Unclassified_Caloramatoraceae",FALSE,FALSE,FALSE,FALSE
"Byssovorax",FALSE,FALSE,FALSE,FALSE
"Aureimonas",FALSE,FALSE,FALSE,FALSE
"Nakamurella",TRUE,FALSE,FALSE,FALSE
"Amnibacterium",TRUE,FALSE,FALSE,FALSE
"Lawsonella",FALSE,FALSE,TRUE,FALSE
"Bradyrhizobium",FALSE,FALSE,FALSE,FALSE
"Mycoplasma",FALSE,FALSE,FALSE,FALSE
"Halomonas",FALSE,FALSE,FALSE,FALSE
"Curtobacterium",FALSE,FALSE,FALSE,FALSE
"Unclassified_Beijerinckiaceae",FALSE,FALSE,FALSE,FALSE
"Mycobacterium",FALSE,FALSE,FALSE,FALSE
"Lapillicoccus",TRUE,FALSE,FALSE,FALSE
