"taxon","W","p_val","q_val","diff_abn","passed_ss","diff_robust_abn","kw.ep","kw.eBH","glm.ep","glm.eBH","ANCOMBC2_robust_FDR05","ALDEx2_FDR05","Method_agreement"
"Acinetobacter",27.2869329259719,9.70252990693581e-10,1.26132888790166e-08,TRUE,TRUE,TRUE,3.09968611224692e-05,0.000536377836424157,1.1609026563709e-06,1.54017210262439e-05,TRUE,TRUE,"Both"
"Pseudomonas",11.4340190466214,4.10910830140227e-05,0.000267092039591147,TRUE,TRUE,TRUE,0.0631315301601159,0.101612480845125,0.0777569117851144,0.11911028554788,TRUE,FALSE,"ANCOM-BC2 only"
"Staphylococcus",8.9618108057166,0.000467320626154003,0.00202505604666735,TRUE,TRUE,TRUE,0.00132896874841802,0.00698676237190802,0.00690663774145259,0.0219333152675704,TRUE,TRUE,"Both"
"Curtobacterium",8.33059986145842,0.00172026842102657,0.00559087236833637,TRUE,TRUE,TRUE,0.0166470730638847,0.0367432039502852,0.0314066771163079,0.0560239003421797,TRUE,TRUE,"Both"
"Stenotrophomonas",6.64421189267045,0.00298451046990538,0.00775972722175399,TRUE,TRUE,TRUE,0.0514120159856851,0.0871948003206517,0.0500854953584232,0.0877878971000989,TRUE,FALSE,"ANCOM-BC2 only"
"Burkholderia-Caballeronia-Paraburkholderia",4.93951911836703,0.0132460416467538,0.0286997569013,TRUE,TRUE,TRUE,0.016592747808197,0.0379833813868426,0.0363648678310909,0.0663108491511374,TRUE,TRUE,"Both"
"Novosphingobium",4.85606307278142,0.0177016050204678,0.0328744093237259,TRUE,TRUE,TRUE,0.120987147154632,0.171254524937274,0.149539218968081,0.206969371673702,TRUE,FALSE,"ANCOM-BC2 only"
"Bosea",3.39516000763536,0.0668969533962364,0.108707549268884,FALSE,FALSE,FALSE,0.00573900942588542,0.0182313661344324,0.0158231376615535,0.0358922304223402,FALSE,TRUE,"ALDEx2 only"
"Micrococcus",3.18957275981124,0.0791033201289576,0.114260351297383,FALSE,FALSE,FALSE,0.0193234433411723,0.0424830914320375,0.0297527633677703,0.05568307523092,FALSE,TRUE,"ALDEx2 only"
"Unclassified_Bacillaceae",2.23064049594821,0.203767929035576,0.25702440623077,FALSE,FALSE,FALSE,0.00218690869980141,0.009613109363817,0.0346327754950992,0.0649098879129788,FALSE,TRUE,"ALDEx2 only"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",2.17706982072666,0.217482189887575,0.25702440623077,FALSE,FALSE,FALSE,0.0634525165048135,0.101291993469113,0.0347497402373769,0.0660383895223787,FALSE,FALSE,"Neither"
"Brevundimonas",2.06614538071743,0.250021356849219,0.270856469919987,FALSE,TRUE,FALSE,0.801805044095327,0.831653172382481,0.651380004591881,0.70343032571093,FALSE,FALSE,"Neither"
"Chryseobacterium",0.762505953675068,0.9433528100645,0.9433528100645,FALSE,TRUE,FALSE,0.702501565817005,0.749868987930113,0.755735313781934,0.787798331538549,FALSE,FALSE,"Neither"
