"Genus","Sample_ID","Row_scaled_rCLR","Genus_full"
"Acinetobacter","250607_10",1.86274015378225,"Acinetobacter"
"Staphylococcus","250607_10",-0.256692160236614,"Staphylococcus"
"Micrococcus","250607_10",-0.812597343016464,"Micrococcus"
"Pseudomonas","250607_10",2.92274558356121,"Pseudomonas"
"Stenotrophomonas","250607_10",2.95343386240971,"Stenotrophomonas"
"Bosea","250607_10",-1.80863595728929,"Bosea"
"Curtobacterium","250607_10",1.48402137187205,"Curtobacterium"
"Chryseobacterium","250607_10",0.743948507670237,"Chryseobacterium"
"Novosphingobium","250607_10",2.52864168088373,"Novosphingobium"
"Brevundimonas","250607_10",1.73469282409501,"Brevundimonas"
"Uncl. Bacillaceae","250607_10",-1.03716763165366,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_10",-2.45100428101765,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_10",0.102176047584118,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_01",2.09051079848822,"Acinetobacter"
"Staphylococcus","250607_01",0.735754963697131,"Staphylococcus"
"Micrococcus","250607_01",-0.427534840754438,"Micrococcus"
"Pseudomonas","250607_01",2.44421270956218,"Pseudomonas"
"Stenotrophomonas","250607_01",2.13247796263009,"Stenotrophomonas"
"Bosea","250607_01",-1.83222136711105,"Bosea"
"Curtobacterium","250607_01",0.44754487342839,"Curtobacterium"
"Chryseobacterium","250607_01",-0.218699599592087,"Chryseobacterium"
"Novosphingobium","250607_01",1.71592706405264,"Novosphingobium"
"Brevundimonas","250607_01",0.806952654156041,"Brevundimonas"
"Uncl. Bacillaceae","250607_01",0.0493622491416954,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_01",-1.85360309221962,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_01",-0.797804238581007,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_03",2.14279729671519,"Acinetobacter"
"Staphylococcus","250607_03",1.36802057001993,"Staphylococcus"
"Micrococcus","250607_03",-0.153032285337833,"Micrococcus"
"Pseudomonas","250607_03",2.0019015272798,"Pseudomonas"
"Stenotrophomonas","250607_03",1.47494485624674,"Stenotrophomonas"
"Bosea","250607_03",-1.7537582262842,"Bosea"
"Curtobacterium","250607_03",-0.269145192897512,"Curtobacterium"
"Chryseobacterium","250607_03",-0.852676723716377,"Chryseobacterium"
"Novosphingobium","250607_03",1.0815582178248,"Novosphingobium"
"Brevundimonas","250607_03",0.139330713441476,"Brevundimonas"
"Uncl. Bacillaceae","250607_03",0.779640135314526,"Unclassified_Bacillaceae"
"Burkholderia complex","250607_03",-1.35671849106128,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","250607_03",-1.36171997180372,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","250607_08",1.71409208459857,"Acinetobacter"
"Staphylococcus","250607_08",1.71040806791572,"Staphylococcus"
"Micrococcus","250607_08",0.770588125025961,"Micrococcus"
"Pseudomonas","250607_08",1.35613491676038,"Pseudomonas"
"Stenotrophomonas","250607_08",0.711136336758725,"Stenotrophomonas"
"Bosea","250607_08",-1.95195007652729,"Bosea"
"Curtobacterium","250607_08",-1.21834708026068,"Curtobacterium"
