"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Klebsiella",58,51,20075,1060,100,3410,176,125,30,28,380,0,0,82,9517,448,102,0,104,0,77,47,371,27,231,412,345,66,73,93,107,183,18,97,323,132,34,0,112,1185,74,0,44,20207,126,55,96
"Unclassified_Bacteria",839,804,5154,1231,2622,3054,22867,4697,92,2159,1640,5251,1468,823,33485,4402,2655,14330,6057,2908,11105,4477,1765,3669,11810,13941,4417,6223,2987,14850,8270,19926,4322,16298,10953,14578,21649,629,221,491,4037,10,1581,2593,1697,210,124
"Caldalkalibacillus",798,2104,89,3486,4964,4389,4741,2355,719,152,1875,508,895,5218,2437,6179,640,1576,793,86,70,419,45,152,276,516,83,41,603,451,153,1743,37,1000,251,75,89,31,712,745,650,47,315,2337,990,500,117
"Actinomycetospora",218,74,243,454,256,1023,11235,910,95,2141,471,2211,875,108,9740,754,441,32872,625,462,289,280,83,449,245,1526,321,292,242,55,150,385,17,138,780,316,230,52,0,0,49,0,0,106,40,26,0
"Staphylococcus",662,268,74,118,551,885,8578,1459,15,73,143,796,6096,284,418,1716,321,10226,66,82,83,101,89,307,445,643,296,204,304,1172,530,3129,155,1326,906,451,63,56,1369,1463,2394,245,1144,8798,6553,1867,359
"Nesterenkonia",677,1419,60,2540,3155,2672,2952,1235,567,78,1218,331,1394,3097,1842,4515,580,966,584,103,43,216,31,79,177,345,65,0,404,337,88,1503,0,744,124,60,54,0,573,393,444,42,248,1450,910,390,105
"Acinetobacter",473,848,652,1573,1080,1290,2116,828,145,38,682,549,344,1437,1076,2258,320,879,445,54,34,165,7,19,125,162,106,14,187,190,48,776,12,310,191,103,58,843,5468,1721,5943,183,603,3714,2474,955,10044
"Pseudonocardia",6,80,101,0,130,205,6325,906,0,1355,662,1774,1312,135,9456,46,213,21705,1410,1297,1190,1545,423,1877,1091,1888,3160,2246,467,217,77,374,0,170,1604,802,1431,69,45,69,377,9,18,273,108,38,8
"Devriesea",0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,87,0,0,293,0,59,0,0,166,0,0,3513,1049,16058,144,0,234,0,67,0,0,0,0,102,2687,0,0,0,0
"Methylocella",13,48,104,0,122,370,3073,310,0,528,116,340,645,0,106,608,179,2323,523,1788,730,586,274,1504,1031,10883,401,631,224,349,206,410,50,225,449,340,276,27,0,131,91,7,0,99,99,0,0
