"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Klebsiella",0.872340425531915,41,0.0170659641664142,TRUE
"Unclassified_Bacteria",1,47,0.110584441595143,TRUE
"Caldalkalibacillus",1,47,0.0298911710601134,TRUE
"Actinomycetospora",0.893617021276596,42,0.0145284028018109,TRUE
"Staphylococcus",1,47,0.0235549331481144,TRUE
"Nesterenkonia",0.936170212765957,44,0.0208013687990618,TRUE
"Acinetobacter",1,47,0.0293302449793071,TRUE
"Pseudonocardia",0.936170212765957,44,0.0186592431790408,TRUE
"Devriesea",0.276595744680851,13,0.00873540400331611,TRUE
"Methylocella",0.851063829787234,40,0.00980463529466492,TRUE
"Unclassified_Alcaligenaceae",0.595744680851064,28,0.00803571718627008,TRUE
"Unclassified_Planococcaceae",0.936170212765957,44,0.00903656226648562,TRUE
"Anoxybacillus",0.808510638297872,38,0.00889906949414476,TRUE
"Unclassified_Mitochondria",1,47,0.19726877240597,TRUE
"Enterococcus",0.936170212765957,44,0.0091742605939715,TRUE
"Citrobacter",0.127659574468085,6,0.000895411204182364,FALSE
"Methylobacterium-Methylorubrum",1,47,0.0195470123335793,TRUE
"Tepidiphilus",0.851063829787234,40,0.00565703618567364,TRUE
"Pseudomonas",0.936170212765957,44,0.0123456419278461,TRUE
"Bacteroides",0.234042553191489,11,0.0058497989459868,TRUE
"Streptococcus",0.319148936170213,15,0.0072005365979777,TRUE
"Aerococcus",0.404255319148936,19,0.00372465835953742,TRUE
"Candidatus Branchiomonas",0.404255319148936,19,0.00400540559262628,TRUE
"Unclassified_Bacillaceae",0.872340425531915,41,0.00491721264814917,TRUE
"Clostridium sensu stricto 12",0.851063829787234,40,0.00381266086441138,TRUE
"Knoellia",0.574468085106383,27,0.00241631978408394,TRUE
"Chryseobacterium",0.595744680851064,28,0.00535489048651215,TRUE
"Corynebacterium",0.978723404255319,46,0.00779685919520349,TRUE
"Stenotrophomonas",0.723404255319149,34,0.00801974490538632,TRUE
"Sphingobacterium",0.404255319148936,19,0.00267610854830153,TRUE
"1174-901-12",0.936170212765957,44,0.0169908660473163,TRUE
"Sphingomonas",1,47,0.0210240756983528,TRUE
"Unclassified_Enterobacteriaceae",0.212765957446809,10,0.000598444713109143,TRUE
"Jatrophihabitans",0.851063829787234,40,0.00863740255215015,TRUE
"Unclassified_Caloramatoraceae",0.765957446808511,36,0.00248433402339769,TRUE
"Byssovorax",0.531914893617021,25,0.00257571132820994,TRUE
"Aureimonas",0.893617021276596,42,0.00686102108009796,TRUE
"Nakamurella",0.51063829787234,24,0.00132180275593495,TRUE
"Amnibacterium",0.74468085106383,35,0.00204556633563229,TRUE
"Lawsonella",0.659574468085106,31,0.00108618158156727,TRUE
"Glutamicibacter",0.127659574468085,6,0.000890370317121319,FALSE
"Bradyrhizobium",0.638297872340426,30,0.0022652199483091,TRUE
"Mycoplasma",0.531914893617021,25,0.00178857842493838,TRUE
"Salmonella",0.0851063829787234,4,0.00102817494093767,FALSE
"Halomonas",0.851063829787234,40,0.00434391864927417,TRUE
"Curtobacterium",0.51063829787234,24,0.00110020707869042,TRUE
"Unclassified_Beijerinckiaceae",0.851063829787234,40,0.00580072545835094,TRUE
"Mycobacterium",0.851063829787234,40,0.00718852797906064,TRUE
"Lapillicoccus",0.361702127659574,17,0.00118302253000774,TRUE
"Unclassified_Rhizobiaceae",0.851063829787234,40,0.00374771602406991,TRUE
"Unclassified_67-14",0.851063829787234,40,0.00444705669759426,TRUE
"Haliangium",0.787234042553192,37,0.00368779740373355,TRUE
"Kocuria",0.574468085106383,27,0.00277502372938611,TRUE
"Nostoc PCC-7107",0.361702127659574,17,0.00167514619891014,TRUE
"Micrococcus",0.659574468085106,31,0.00283268512884546,TRUE
"LD29",0.680851063829787,32,0.00276931372727571,TRUE
"Unclassified_Caulobacteraceae",0.787234042553192,37,0.00412528742572328,TRUE
"Nocardioides",0.936170212765957,44,0.00764334776577878,TRUE
"Clostridium sensu stricto 10",0.680851063829787,32,0.0012911870288518,TRUE
"Terriglobus",0.723404255319149,34,0.00150356292835538,TRUE
"Conexibacter",0.765957446808511,36,0.00570524262385263,TRUE
"Stigmatella",0.148936170212766,7,0.00168587974115335,FALSE
"Loriellopsis LF-B5",0.595744680851064,28,0.0059748705927883,TRUE
"Streptomyces",0.531914893617021,25,0.00243218502447044,TRUE
"Parafilimonas",0.595744680851064,28,0.00203424118928314,TRUE
"Aridibacter",0.553191489361702,26,0.00189756894786533,TRUE
"Devosia",0.787234042553192,37,0.00213294428284508,TRUE
"Isoptericola",0.0851063829787234,4,0.00114712854438684,FALSE
"Bacillus",0.702127659574468,33,0.00158754079760237,TRUE
"Microcoleus SAG 1449-1a",0.191489361702128,9,0.00173637877273714,FALSE
"Quadrisphaera",0.425531914893617,20,0.000602159626394305,TRUE
"Brachybacterium",0.531914893617021,25,0.00131624696959877,TRUE
"Actinoplanes",0.638297872340426,30,0.00389222621086187,TRUE
"Flavobacterium",0.659574468085106,31,0.00265134516297931,TRUE
"Romboutsia",0.170212765957447,8,0.000733411872026203,FALSE
"Rothia",0.425531914893617,20,0.00233961279418086,TRUE
"Tumebacillus",0.723404255319149,34,0.00101187605298246,TRUE
"Rubrobacter",0.319148936170213,15,0.00142907389950456,TRUE
"Haemophilus",0.276595744680851,13,0.00103196287307399,TRUE
"Brevibacterium",0.553191489361702,26,0.00182036098578269,TRUE
"Psychroglaciecola",0.787234042553192,37,0.003402671150438,TRUE
"Unclassified_Kineosporiaceae",0.446808510638298,21,0.000604927933688907,TRUE
"Elstera",0.0212765957446809,1,0.000965846099515919,FALSE
"Candidatus Udaeobacter",0.595744680851064,28,0.00141383394577528,TRUE
"Candidatus Megaira",0.276595744680851,13,0.000853404398526685,TRUE
"Actinomyces",0.361702127659574,17,0.00242099223588743,TRUE
"Mannheimia",0.170212765957447,8,0.000852138114657326,FALSE
"Blastocatella",0.723404255319149,34,0.00202887635748514,TRUE
"Niabella",0.276595744680851,13,0.00187138472934883,TRUE
"Unclassified_Tannerellaceae",0.0425531914893617,2,0.000393741092291414,FALSE
"Neorhizobium",0.361702127659574,17,0.000488676066743871,TRUE
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.893617021276596,42,0.0033811294111835,TRUE
"Tianweitania",0.446808510638298,21,0.000705243453148259,TRUE
"Scytonema PCC-7110",0.148936170212766,7,0.00140422199096196,FALSE
"Hephaestia",0.425531914893617,20,0.000978704663529144,TRUE
"Kineococcus",0.361702127659574,17,0.000496562799000832,TRUE
"Qipengyuania",0.382978723404255,18,0.000719967275945758,TRUE
"IheB3-7",0.617021276595745,29,0.000860782636407397,TRUE
"Gemella",0.212765957446809,10,0.00108617505798253,TRUE
"Tabrizicola",0.106382978723404,5,0.000608800669492656,FALSE
"Unclassified_Sphingomonadaceae",0.872340425531915,41,0.00507106249519749,TRUE
"Mucilaginibacter",0.808510638297872,38,0.00354666859909953,TRUE
"Unclassified_Microbacteriaceae",0.723404255319149,34,0.00160113804886365,TRUE
"FFCH7168",0.595744680851064,28,0.000701331433682991,TRUE
"Enhydrobacter",0.468085106382979,22,0.000935073295832559,TRUE
"Sphingobium",0.723404255319149,34,0.00166931589052278,TRUE
"Luteibacter",0.425531914893617,20,0.000985823837948575,TRUE
"Incertae Sedis",0.170212765957447,8,0.000648291404298492,FALSE
"Klenkia",0.25531914893617,12,0.000375792724333558,TRUE
"Edaphobacter",0.468085106382979,22,0.00117834710527455,TRUE
"Sphingoaurantiacus",0.702127659574468,33,0.00116297377174784,TRUE
"Hylemonella",0.0425531914893617,2,0.000777180556592376,FALSE
"Faecalitalea",0.127659574468085,6,0.000382929418510852,FALSE
"Methylopila",0.51063829787234,24,0.000522949925073121,TRUE
"Unclassified_Chitinophagaceae",0.851063829787234,40,0.00330646157303487,TRUE
"Peptoniphilus",0.297872340425532,14,0.000303554392151716,TRUE
