"Genus","Site","Bd_arrival_year","Mean_percent","SE_percent","N"
"Staphylococcus","Lost Iguana",1982.91046925675,4.02576466076588,0.948557703809829,9
"Staphylococcus","Veragua",1989.98425233345,0.720933343598039,0.247629460135401,18
"Staphylococcus","Altos de Campana",2008.41768959668,0.0683776288312741,0.0299293331469044,10
"Staphylococcus","Soberanía",2009.4359546082,0.486356519118421,0.12128629854682,10
"Acinetobacter","Lost Iguana",1982.91046925675,8.12056335717748,3.32301645476542,9
"Acinetobacter","Veragua",1989.98425233345,1.97240445328819,0.348926931199216,18
"Acinetobacter","Altos de Campana",2008.41768959668,0.218356939853429,0.0786437433517651,10
"Acinetobacter","Soberanía",2009.4359546082,0.506398135516251,0.173277664674966,10
"Pseudomonas","Lost Iguana",1982.91046925675,1.84768864480382,0.703648136471166,9
"Pseudomonas","Veragua",1989.98425233345,0.420481005980091,0.123728612762327,18
"Pseudomonas","Altos de Campana",2008.41768959668,0.131156719170467,0.0571863629627697,10
"Pseudomonas","Soberanía",2009.4359546082,0.28701369854035,0.213756590054006,10
"Stenotrophomonas","Lost Iguana",1982.91046925675,2.69118534421353,2.03325646602731,9
"Stenotrophomonas","Veragua",1989.98425233345,0.421959650246089,0.35232614093056,18
"Stenotrophomonas","Altos de Campana",2008.41768959668,0.135050890344784,0.0613655296925985,10
"Stenotrophomonas","Soberanía",2009.4359546082,0.28893851889445,0.154173632610031,10
"Curtobacterium","Lost Iguana",1982.91046925675,0.0187305952052965,0.0101450889976309,9
"Curtobacterium","Veragua",1989.98425233345,0.239541815894053,0.0899109313414898,18
"Curtobacterium","Altos de Campana",2008.41768959668,0.0443592985516966,0.0280983151487383,10
"Curtobacterium","Soberanía",2009.4359546082,0.0247052241387394,0.0132855307063025,10
"Burkholderia-Caballeronia-Paraburkholderia","Lost Iguana",1982.91046925675,0.0565465983040356,0.0213565215959899,9
"Burkholderia-Caballeronia-Paraburkholderia","Veragua",1989.98425233345,0.280853228248112,0.0819462804047151,18
"Burkholderia-Caballeronia-Paraburkholderia","Altos de Campana",2008.41768959668,0.182643913857562,0.0685363992863044,10
"Burkholderia-Caballeronia-Paraburkholderia","Soberanía",2009.4359546082,0.0890266524836039,0.0391443730923385,10
"Novosphingobium","Lost Iguana",1982.91046925675,0.35142089601123,0.155925249459405,9
"Novosphingobium","Veragua",1989.98425233345,0.127373656903009,0.0491767796009701,18
"Novosphingobium","Altos de Campana",2008.41768959668,0.043252001037268,0.0177334497684881,10
"Novosphingobium","Soberanía",2009.4359546082,0.0709849305869786,0.0318552351999886,10
