"Genus","Site","N","Detected_n","Prevalence_percent","Mean_percent","Median_percent","Q1_percent","Q3_percent"
"Acinetobacter","Lost Iguana",9,9,100,8.12056335717748,3.29291488349976,3.15456784215197,9.72049315288543
"Burkholderia-Caballeronia-Paraburkholderia","Lost Iguana",9,5,55.5555555555556,0.0565465983040356,0.0582305931488695,0,0.0830468538761636
"Curtobacterium","Lost Iguana",9,3,33.3333333333333,0.0187305952052965,0,0,0.0424890880296651
"Novosphingobium","Lost Iguana",9,8,88.8888888888889,0.35142089601123,0.221905214772547,0.143507830535971,0.297176820208024
"Pseudomonas","Lost Iguana",9,8,88.8888888888889,1.84768864480382,0.826605894395303,0.163289109199592,2.84103907988603
"Staphylococcus","Lost Iguana",9,9,100,4.02576466076588,3.06955343355079,2.51866641708783,5.36535108575052
"Stenotrophomonas","Lost Iguana",9,9,100,2.69118534421353,0.393558491626842,0.259513048549351,0.708795241222141
"Acinetobacter","Veragua",18,18,100,1.97240445328819,1.67562557234206,0.749311311818539,3.00010791065521
"Burkholderia-Caballeronia-Paraburkholderia","Veragua",18,14,77.7777777777778,0.280853228248112,0.122866042619762,0.035418858612115,0.502036121780984
"Curtobacterium","Veragua",18,13,72.2222222222222,0.239541815894053,0.133150498231055,0.0144927536231884,0.20056512276629
"Novosphingobium","Veragua",18,10,55.5555555555556,0.127373656903009,0.024802840617341,0,0.140998475473275
"Pseudomonas","Veragua",18,17,94.4444444444444,0.420481005980091,0.241133610673705,0.103532751804507,0.462621752285666
"Staphylococcus","Veragua",18,13,72.2222222222222,0.720933343598039,0.266510856715593,0.0156173372877794,0.948220398173665
"Stenotrophomonas","Veragua",18,10,55.5555555555556,0.421959650246089,0.024805756840657,0,0.145812207712756
"Acinetobacter","Altos de Campana",10,10,100,0.218356939853429,0.142570156806249,0.0430063088169682,0.222793953366924
"Burkholderia-Caballeronia-Paraburkholderia","Altos de Campana",10,9,90,0.182643913857562,0.077470775839675,0.0478591798963727,0.272673496980209
"Curtobacterium","Altos de Campana",10,4,40,0.0443592985516965,0,0,0.0440633584728368
"Novosphingobium","Altos de Campana",10,5,50,0.043252001037268,0.0168640051124563,0,0.0651908058465612
"Pseudomonas","Altos de Campana",10,8,80,0.131156719170467,0.0663283957848274,0.0378851138647923,0.143463342489144
"Staphylococcus","Altos de Campana",10,4,40,0.0683776288312741,0,0,0.132704694287666
"Stenotrophomonas","Altos de Campana",10,6,60,0.135050890344784,0.0425349624223869,0,0.188999770674517
"Acinetobacter","Soberanía",10,10,100,0.506398135516251,0.326359497049264,0.157145216815355,0.631038317531843
"Burkholderia-Caballeronia-Paraburkholderia","Soberanía",10,6,60,0.0890266524836039,0.0552843088579576,0,0.115651891564045
"Curtobacterium","Soberanía",10,4,40,0.0247052241387394,0,0,0.0242226293129588
"Novosphingobium","Soberanía",10,5,50,0.0709849305869786,0.0080067714409901,0,0.130774613388119
"Pseudomonas","Soberanía",10,7,70,0.28701369854035,0.0812477471690234,0.00572727593134318,0.162178197796827
"Staphylococcus","Soberanía",10,7,70,0.486356519118421,0.61879870549438,0.0753698380424875,0.745362214569435
"Stenotrophomonas","Soberanía",10,8,80,0.28893851889445,0.0817129387970953,0.0280459206873143,0.14976532127893
