"Genus_full","Genus","Woodhams_inhibitory_match"
"Unclassified_Bacteria","Uncl. Bacteria",TRUE
"Methylobacterium-Methylorubrum","Methylobacterium-Methylorubrum",FALSE
"Actinomycetospora","Actinomycetospora",FALSE
"1174-901-12","1174-901-12",FALSE
"Marmoricola","Marmoricola",FALSE
"Unclassified_Caulobacteraceae","Uncl. Caulobacteraceae",TRUE
"Mycobacterium","Mycobacterium",FALSE
"Unclassified_Acetobacteraceae","Uncl. Acetobacteraceae",FALSE
"Jatrophihabitans","Jatrophihabitans",FALSE
"Methylocella","Methylocella",FALSE
"Conexibacter","Conexibacter",FALSE
"Actinoplanes","Actinoplanes",FALSE
"Pseudonocardia","Pseudonocardia",FALSE
"Unclassified_67-14","Uncl. 67-14",FALSE
"Corynebacterium","Corynebacterium",FALSE
"Caldalkalibacillus","Caldalkalibacillus",FALSE
"Nesterenkonia","Nesterenkonia",FALSE
"Unclassified_Bacillaceae","Uncl. Bacillaceae",TRUE
"Unclassified_Caloramatoraceae","Uncl. Caloramatoraceae",FALSE
"Anoxybacillus","Anoxybacillus",FALSE
"Clostridium sensu stricto 12","Clostridium sensu stricto 12",FALSE
"Halomonas","Halomonas",FALSE
"Staphylococcus","Staphylococcus",TRUE
"Mycoplasma","Mycoplasma",FALSE
"Tumebacillus","Tumebacillus",FALSE
"Bacillus","Bacillus",TRUE
"Paracoccus","Paracoccus",FALSE
"Acinetobacter","Acinetobacter",TRUE
"Chryseobacterium","Chryseobacterium",TRUE
"Pseudomonas","Pseudomonas",TRUE
