"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Unclassified_Bacteria","250607_03",0.345272866626668,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_03",0.386904963052356,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_03",0.212423184797659,"Actinomycetospora"
"1174-901-12","250607_03",0.270116393729323,"1174-901-12"
"Marmoricola","250607_03",-0.180436091580387,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_03",-0.0403614723468274,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_03",-0.0550998636885404,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_03",0.0154550971350519,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_03",-0.0154908680067259,"Jatrophihabitans"
"Methylocella","250607_03",-0.0341575899879768,"Methylocella"
"Conexibacter","250607_03",-0.10047600346747,"Conexibacter"
"Actinoplanes","250607_03",-0.186611361017886,"Actinoplanes"
"Pseudonocardia","250607_03",-0.0114509370931035,"Pseudonocardia"
"Unclassified_67-14","250607_03",-0.051910744226208,"Uncl. 67-14"
"Corynebacterium","250607_03",0.558433034284907,"Corynebacterium"
"Caldalkalibacillus","250607_03",0.696946658094169,"Caldalkalibacillus"
"Nesterenkonia","250607_03",0.669150767598942,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_03",0.510594234713116,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_03",0.445917037538866,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_03",0.645269573695069,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_03",0.528068777929776,"Clostridium sensu stricto 12"
"Halomonas","250607_03",0.521227214995851,"Halomonas"
"Staphylococcus","250607_03",0.833262105683008,"Staphylococcus"
"Mycoplasma","250607_03",0.369495413759426,"Mycoplasma"
"Tumebacillus","250607_03",0.0974719159352631,"Tumebacillus"
"Bacillus","250607_03",0.398930365884308,"Bacillus"
"Paracoccus","250607_03",0.174671615415749,"Paracoccus"
"Acinetobacter","250607_03",0.532853161903358,"Acinetobacter"
"Chryseobacterium","250607_03",-0.096368615674572,"Chryseobacterium"
"Pseudomonas","250607_03",0.143382091252056,"Pseudomonas"
"Unclassified_Bacteria","250607_04",-2.34554075947223,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_04",-2.29569663370585,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_04",-1.78557675400857,"Actinomycetospora"
"1174-901-12","250607_04",-1.96246280922598,"1174-901-12"
"Marmoricola","250607_04",-1.4070913119002,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_04",-1.75523630563072,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_04",-1.71402468696123,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_04",-1.79260807673963,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_04",-1.78120957771204,"Jatrophihabitans"
"Methylocella","250607_04",-1.74152718681256,"Methylocella"
"Conexibacter","250607_04",-1.61958276941752,"Conexibacter"
"Actinoplanes","250607_04",-1.42853541903314,"Actinoplanes"
"Pseudonocardia","250607_04",-1.75317214012074,"Pseudonocardia"
"Unclassified_67-14","250607_04",-1.55319176508181,"Uncl. 67-14"
"Corynebacterium","250607_04",-1.09055220064636,"Corynebacterium"
"Caldalkalibacillus","250607_04",-0.62198473583367,"Caldalkalibacillus"
"Nesterenkonia","250607_04",-0.450840847097737,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_04",-0.0589702559160128,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_04",0.239741428902275,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_04",-0.319142603202762,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_04",0.0230896591475593,"Clostridium sensu stricto 12"
"Halomonas","250607_04",0.0929627765560786,"Halomonas"
"Staphylococcus","250607_04",-1.01976280981313,"Staphylococcus"
"Mycoplasma","250607_04",0.934478134440263,"Mycoplasma"
"Tumebacillus","250607_04",1.0611894671565,"Tumebacillus"
"Bacillus","250607_04",0.183912641594108,"Bacillus"
"Paracoccus","250607_04",1.45389519410705,"Paracoccus"
"Acinetobacter","250607_04",0.30459950634731,"Acinetobacter"
"Chryseobacterium","250607_04",1.02314609284877,"Chryseobacterium"
"Pseudomonas","250607_04",0.509358671224866,"Pseudomonas"
"Unclassified_Bacteria","250607_10",-0.67509899788258,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_10",-1.55081218679403,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_10",-2.05601884501447,"Actinomycetospora"
"1174-901-12","250607_10",-1.93528897389572,"1174-901-12"
"Marmoricola","250607_10",-1.52787518166575,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_10",-1.20578972414953,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_10",-0.927251438682325,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_10",-1.65840847180423,"Uncl. Acetobacteraceae"
