"Genus","Mean_relative_abundance_percent","Prevalence","Prevalence_samples","Inhibitory_ASVs","Max_identity","Max_query_coverage","Whole_ANCOMBC2_global_q","Whole_ANCOMBC2_robust_global","Whole_ALDEx2_global_q","Anti_only_ANCOMBC2_global_q","Anti_only_ANCOMBC2_robust_global","Anti_only_ALDEx2_global_q","Woodhams_function","Passes_20pct_anti_prevalence","Site_association_supported","Priority_rank"
"Acinetobacter",2.46459364101025,1,47,34,100,100,7.25611482332861e-12,TRUE,0.000143579280604393,1.26132888790166e-08,TRUE,0.000536377836424157,"inhibitory",TRUE,TRUE,1
"Staphylococcus",1.16502177896074,0.702127659574468,33,3,100,100,1.84439661239607e-11,TRUE,0.000677666097448079,0.00202505604666735,TRUE,0.00698676237190802,"inhibitory",TRUE,TRUE,2
"Unclassified_Alcaligenaceae",0.785008710681923,0.51063829787234,24,1,98.814,100,0.0013427364327417,TRUE,0.00178066772555351,NA,NA,NA,"inhibitory",TRUE,FALSE,3
"Stenotrophomonas",0.767145444569014,0.702127659574468,33,13,100,100,0.0153159480642158,TRUE,0.022583007911928,0.00775972722175399,TRUE,0.0871948003206517,"inhibitory",TRUE,FALSE,4
"Pseudomonas",0.603820427403919,0.851063829787234,40,35,100,100,7.24645824593032e-06,TRUE,0.0343949729890745,0.000267092039591147,TRUE,0.101612480845125,"inhibitory",TRUE,FALSE,5
"Chryseobacterium",0.511771027233119,0.51063829787234,24,23,100,100,3.66266734585033e-06,TRUE,0.202690313800459,0.9433528100645,FALSE,0.749868987930113,"inhibitory",TRUE,FALSE,6
"Unclassified_Bacillaceae",0.376798849147056,0.829787234042553,39,1,97.233,100,1.10361800697654e-05,TRUE,0.00169363998286754,0.25702440623077,FALSE,0.009613109363817,"inhibitory",TRUE,TRUE,7
"Micrococcus",0.283268512884546,0.659574468085106,31,3,100,100,4.17033202600811e-05,TRUE,0.00774339855546675,0.114260351297383,FALSE,0.0424830914320375,"inhibitory",TRUE,TRUE,8
"Sphingobacterium",0.241105547847009,0.297872340425532,14,5,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",TRUE,FALSE,9
"Klebsiella",0.204924591736645,0.404255319148936,19,1,100,100,0.0852518417278762,FALSE,0.171665956531644,NA,NA,NA,"inhibitory",TRUE,FALSE,10
"Amnibacterium",0.195339111963447,0.723404255319149,34,5,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",TRUE,FALSE,11
"Burkholderia-Caballeronia-Paraburkholderia",0.176191130991787,0.723404255319149,34,18,100,100,0.0290587338433046,FALSE,0.406300750345932,0.0286997569013,TRUE,0.0379833813868426,"inhibitory",TRUE,FALSE,12
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.173821628617366,0.808510638297872,38,16,100,100,0.105009741426036,FALSE,0.828815924070811,0.25702440623077,FALSE,0.101291993469113,"inhibitory",TRUE,FALSE,13
"Streptomyces",0.171447802460172,0.382978723404255,18,17,100,100,0.0120830316716973,FALSE,0.648501660749778,NA,NA,NA,"inhibitory",TRUE,FALSE,14
"Brevibacterium",0.15995877372555,0.48936170212766,23,5,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",TRUE,FALSE,15
