"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support"
"Staphylococcus","Anti-Bd community",0.6725768321513,0.702127659574468,33,1.16502177896074,TRUE,0.711111111111111,0.636327817178881,0.8026024428684,1,1,1000,1,TRUE,0.00202505604666735,0.00698676237190802,TRUE,"Both","ANCOM-BC2 + ALDEx2"
"Acinetobacter","Anti-Bd community",0.670921985815603,1,47,2.46459364101025,TRUE,0.720449172576832,0.59596926713948,0.831373128447596,1,1,1000,2,TRUE,1.26132888790166e-08,0.000536377836424157,TRUE,"Both","ANCOM-BC2 + ALDEx2"
"Amnibacterium","Anti-Bd community",0.638219070133964,0.723404255319149,34,0.195339111963447,TRUE,0.664420803782506,0.558944050433412,0.782927501970055,0.992,1,1000,3,FALSE,NA,0.00166970796019992,TRUE,"ALDEx2 only","ALDEx2 only"
"Brachybacterium","Anti-Bd community",0.602836879432624,0.531914893617021,25,0.131624696959877,TRUE,0.639440504334121,0.543402285263987,0.731916863672183,0.983,1,1000,4,FALSE,NA,0.00752751661337707,TRUE,"ALDEx2 only","ALDEx2 only"
"Unclassified_Alcaligenaceae","Anti-Bd community",0.600788022064618,0.51063829787234,24,0.785008710681923,TRUE,0.650669818754925,0.5475768321513,0.746808510638298,0.98,1,1000,5,FALSE,NA,0.000699260023627769,TRUE,"ALDEx2 only","ALDEx2 only"
"Unclassified_Bacillaceae","Anti-Bd community",0.58360914105595,0.829787234042553,39,0.376798849147056,TRUE,0.621473601260835,0.485894405043341,0.754694641449961,0.935,1,1000,6,FALSE,0.25702440623077,0.009613109363817,TRUE,"ALDEx2 only","ALDEx2 only"
"Brevibacterium","Anti-Bd community",0.524980299448385,0.48936170212766,23,0.15995877372555,TRUE,0.557683215130024,0.438057525610717,0.661873522458629,0.735,0.994,1000,7,FALSE,NA,0.0456922358675891,TRUE,"ALDEx2 only","ALDEx2 only"
"Micrococcus","Anti-Bd community",0.508195429472025,0.659574468085106,31,0.283268512884546,TRUE,0.557210401891253,0.429024822695036,0.68165878644602,0.698,0.987,1000,8,FALSE,0.114260351297383,0.0424830914320375,TRUE,"ALDEx2 only","ALDEx2 only"
"Pseudomonas","Anti-Bd community",0.455161544523247,0.851063829787234,40,0.603820427403919,TRUE,0.542513790386131,0.386361308116627,0.700557525610717,0.586,0.973,1000,9,TRUE,0.000267092039591147,0.101612480845125,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Stenotrophomonas","Anti-Bd community",0.410323089046493,0.702127659574468,33,0.767145444569014,TRUE,0.497832939322301,0.357651694247439,0.6399231678487,0.351,0.934,1000,10,TRUE,0.00775972722175399,0.0871948003206517,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
