"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support","Display_genus","Plot_genus"
"Actinomycetospora","Whole community",0.791016548463357,0.893617021276596,42,1.45284028018109,FALSE,0.818754925137904,0.72167060677699,0.913317572892041,0.956,0.993,1000,1,TRUE,6.78285244945724e-11,1.76708413020742e-05,TRUE,"Both","ANCOM-BC2 + ALDEx2","Actinomycetospora","Whole community___Actinomycetospora"
"Unclassified_Bacteria","Whole community",0.760756501182033,1,47,11.0584441595143,TRUE,0.805910165484634,0.670043341213554,0.90849487785658,0.907,0.97,1000,2,TRUE,1.61371629462528e-07,0.0235752912533015,TRUE,"Both","ANCOM-BC2 + ALDEx2","Uncl. Bacteria","Whole community___Uncl. Bacteria"
"Methylocella","Whole community",0.759416863672183,0.851063829787234,40,0.980463529466492,FALSE,0.776044129235618,0.714365642237983,0.846335697399527,0.943,1,1000,3,TRUE,3.01282960495093e-06,0.00808520356965151,TRUE,"Both","ANCOM-BC2 + ALDEx2","Methylocella","Whole community___Methylocella"
"Mycobacterium","Whole community",0.758234830575256,0.851063829787234,40,0.718852797906064,FALSE,0.78408195429472,0.68941292356186,0.875732860520095,0.91,0.986,1000,4,TRUE,1.95973667659131e-06,0.0102842553184371,TRUE,"Both","ANCOM-BC2 + ALDEx2","Mycobacterium","Whole community___Mycobacterium"
"Jatrophihabitans","Whole community",0.70882584712372,0.851063829787234,40,0.863740255215015,FALSE,0.747911741528763,0.666503152088258,0.843829787234042,0.756,0.951,1000,5,TRUE,2.49633173197384e-08,0.00694584603752513,TRUE,"Both","ANCOM-BC2 + ALDEx2","Jatrophihabitans","Whole community___Jatrophihabitans"
"Conexibacter","Whole community",0.705279747832939,0.765957446808511,36,0.570524262385263,FALSE,0.733018124507486,0.631873522458629,0.838100866824271,0.598,0.853,1000,6,TRUE,1.61371629462528e-07,0.00658473053736294,TRUE,"Both","ANCOM-BC2 + ALDEx2","Conexibacter","Whole community___Conexibacter"
"Acinetobacter","Whole community",0.692277383766745,1,47,2.93302449793071,TRUE,0.746178092986604,0.628406225374311,0.856753349093775,0.672,0.882,1000,7,TRUE,7.25611482332861e-12,0.000143579280604393,TRUE,"Both","ANCOM-BC2 + ALDEx2","Acinetobacter","Whole community___Acinetobacter"
"Acidibacter","Whole community",0.689125295508274,0.574468085106383,27,0.0980268610800017,FALSE,0.707407407407407,0.619539007092199,0.79718085106383,0.416,0.716,1000,8,FALSE,NA,0.00735335871029517,TRUE,"ALDEx2 only","ALDEx2 only","Acidibacter","Whole community___Acidibacter"
"Methylobacterium-Methylorubrum","Whole community",0.653585500394011,1,47,1.95470123335793,FALSE,0.710520094562648,0.614558707643814,0.819950748620962,0.412,0.729,1000,9,TRUE,1.61292962733545e-08,0.000856377192669841,TRUE,"Both","ANCOM-BC2 + ALDEx2","Methylobacterium-Methylorubrum","Whole community___Methylobacterium-Methylorubrum"
"Amnibacterium","Whole community",0.651694247438928,0.74468085106383,35,0.204556633563229,TRUE,0.676674546887313,0.585839243498818,0.794625689519306,0.233,0.498,1000,10,FALSE,NA,0.00636802178556398,TRUE,"ALDEx2 only","ALDEx2 only","Amnibacterium","Whole community___Amnibacterium"
