"Community","Genus","Site_1","Site_2","KS_distance"
"Whole community","Klebsiella","Lost Iguana","Veragua",0.222222222222222
"Whole community","Unclassified_Bacteria","Lost Iguana","Veragua",0.666666666666667
"Whole community","Caldalkalibacillus","Lost Iguana","Veragua",0.555555555555556
"Whole community","Actinomycetospora","Lost Iguana","Veragua",1
"Whole community","Staphylococcus","Lost Iguana","Veragua",0.5
"Whole community","Nesterenkonia","Lost Iguana","Veragua",0.611111111111111
"Whole community","Acinetobacter","Lost Iguana","Veragua",0.555555555555556
"Whole community","Pseudonocardia","Lost Iguana","Veragua",0.611111111111111
"Whole community","Devriesea","Lost Iguana","Veragua",0.166666666666667
"Whole community","Methylocella","Lost Iguana","Veragua",0.666666666666667
"Whole community","Unclassified_Alcaligenaceae","Lost Iguana","Veragua",0.666666666666667
"Whole community","Unclassified_Planococcaceae","Lost Iguana","Veragua",0.555555555555556
"Whole community","Anoxybacillus","Lost Iguana","Veragua",0.555555555555556
"Whole community","Unclassified_Mitochondria","Lost Iguana","Veragua",0.777777777777778
"Whole community","Enterococcus","Lost Iguana","Veragua",0.666666666666667
"Whole community","Methylobacterium-Methylorubrum","Lost Iguana","Veragua",1
"Whole community","Tepidiphilus","Lost Iguana","Veragua",0.5
"Whole community","Pseudomonas","Lost Iguana","Veragua",0.555555555555556
"Whole community","Bacteroides","Lost Iguana","Veragua",0.111111111111111
"Whole community","Streptococcus","Lost Iguana","Veragua",0.444444444444444
"Whole community","Aerococcus","Lost Iguana","Veragua",1
"Whole community","Candidatus Branchiomonas","Lost Iguana","Veragua",0.388888888888889
"Whole community","Unclassified_Bacillaceae","Lost Iguana","Veragua",0.555555555555556
"Whole community","Clostridium sensu stricto 12","Lost Iguana","Veragua",0.555555555555556
"Whole community","Knoellia","Lost Iguana","Veragua",0.277777777777778
"Whole community","Chryseobacterium","Lost Iguana","Veragua",0.111111111111111
"Whole community","Corynebacterium","Lost Iguana","Veragua",0.888888888888889
"Whole community","Stenotrophomonas","Lost Iguana","Veragua",0.666666666666667
"Whole community","Sphingobacterium","Lost Iguana","Veragua",0.333333333333333
"Whole community","1174-901-12","Lost Iguana","Veragua",0.888888888888889
"Whole community","Sphingomonas","Lost Iguana","Veragua",0.5
"Whole community","Unclassified_Enterobacteriaceae","Lost Iguana","Veragua",0.222222222222222
"Whole community","Jatrophihabitans","Lost Iguana","Veragua",0.833333333333333
"Whole community","Unclassified_Caloramatoraceae","Lost Iguana","Veragua",0.5
"Whole community","Byssovorax","Lost Iguana","Veragua",0.222222222222222
"Whole community","Aureimonas","Lost Iguana","Veragua",0.611111111111111
"Whole community","Nakamurella","Lost Iguana","Veragua",0.388888888888889
"Whole community","Amnibacterium","Lost Iguana","Veragua",0.777777777777778
"Whole community","Lawsonella","Lost Iguana","Veragua",0.611111111111111
"Whole community","Bradyrhizobium","Lost Iguana","Veragua",0.277777777777778
"Whole community","Mycoplasma","Lost Iguana","Veragua",0.333333333333333
"Whole community","Halomonas","Lost Iguana","Veragua",0.5
"Whole community","Curtobacterium","Lost Iguana","Veragua",0.611111111111111
"Whole community","Unclassified_Beijerinckiaceae","Lost Iguana","Veragua",0.444444444444444
"Whole community","Mycobacterium","Lost Iguana","Veragua",0.611111111111111
"Whole community","Lapillicoccus","Lost Iguana","Veragua",0.555555555555556
"Whole community","Unclassified_Rhizobiaceae","Lost Iguana","Veragua",0.388888888888889
"Whole community","Unclassified_67-14","Lost Iguana","Veragua",0.555555555555556
"Whole community","Haliangium","Lost Iguana","Veragua",0.5
"Whole community","Kocuria","Lost Iguana","Veragua",0.444444444444444
"Whole community","Nostoc PCC-7107","Lost Iguana","Veragua",0.333333333333333
"Whole community","Micrococcus","Lost Iguana","Veragua",0.222222222222222
