"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_01","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",36.0039705053082
"250607_02","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",35.4253705115582
"250607_03","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.1703961503792
"250607_04","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",29.3812186854286
"250607_05","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",30.4249374533413
"250607_07","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.7127596134048
"250607_08","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",37.6317962239455
"250607_09","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",31.2626342242868
"250607_10","220604_01","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",35.2037973016387
"250607_01","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",32.7119038097746
"250607_02","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",35.6356361593047
"250607_03","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.9852403550735
"250607_04","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",28.7745561653116
"250607_05","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",29.1377768874311
"250607_07","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",46.3101352854694
"250607_08","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",37.2302435254987
"250607_09","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",31.3296254759666
"250607_10","220604_02","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",31.1812524790089
"250607_01","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",44.769855493405
"250607_02","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.2521507743984
"250607_03","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",49.797503466169
"250607_04","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.3906274242195
"250607_05","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",43.8711875440225
"250607_07","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.1004716129842
"250607_08","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",49.0433473036244
"250607_09","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",45.2838384910087
"250607_10","220604_03","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.5513584389466
"250607_01","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",40.1103946492533
"250607_02","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.2536509373678
"250607_03","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",41.4781328795447
"250607_04","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",39.3737427987975
"250607_05","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",38.3605356485707
"250607_07","220604_04","Lost","Veragua","Lost vs Veragua","CLR-Aitchison",51.3388692661905
