"Metric","Pair","Site_1","Site_2","N_cross_sample_pairs","Mean_distance","Median_distance","SD_distance","Q1","Q3","Note"
"CLR-Aitchison","Campana vs Soberanía","Campana","Soberanía",100,42.5622230150764,42.4975472635416,3.7512185639012,40.0711660393714,44.467884570702,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Campana vs Soberanía","Campana","Soberanía",100,11.5328197614358,11.1004924693065,5.62653975789639,7.37478063829815,14.9267745701523,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Campana","Lost","Campana",90,45.7012699667563,45.5628171026123,3.98413391370617,43.3750532908356,47.8701694572756,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Campana","Lost","Campana",90,20.2188050846479,20.9890549050683,4.09861222762286,17.5339834702775,23.2952245380095,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Soberanía","Lost","Soberanía",90,42.0511438032104,41.4326872471794,4.1771693153599,39.5981452343426,44.5969728351738,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Soberanía","Lost","Soberanía",90,14.2149576005669,14.2263048450543,4.52817534052135,11.3842956397902,17.8108739564148,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Lost vs Veragua","Lost","Veragua",162,42.8109120295148,42.5164474531552,6.49361083033732,39.3814987339498,46.8999192333365,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Lost vs Veragua","Lost","Veragua",162,13.677595498972,12.795900319805,5.34022881739202,9.71375671761636,17.1290203079751,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Veragua vs Campana","Veragua","Campana",180,46.5012868605959,46.8700601380094,5.45860103318863,42.5899642552379,50.5918738892527,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Veragua vs Campana","Veragua","Campana",180,15.9357094067218,16.8065434037355,5.59269907500394,11.7195264805071,20.3432445406175,"Cross-sample pairs are descriptive and non-independent"
"CLR-Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,44.8353829244718,44.7608504728112,4.71718856176385,41.3523989044459,48.1901433275772,"Cross-sample pairs are descriptive and non-independent"
"Robust Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,13.875340404538,13.329793910959,5.76622085593083,9.63783062163425,17.9811565983916,"Cross-sample pairs are descriptive and non-independent"
