"Metric","Site_1","Site_2","Pair","N_site_1","N_site_2","PERMANOVA_R2","PERMANOVA_pseudo_F","PERMANOVA_p","Betadisper_F","Betadisper_p","Permutations","PERMANOVA_p_FDR_BH","Betadisper_p_FDR_BH","Interpretation_flag"
"CLR-Aitchison","Lost","Veragua","Lost vs Veragua",9,18,0.101027053783513,2.80951318414825,2e-04,6.74712651189601,0.0135,9999,2e-04,0.0615,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Lost","Campana","Lost vs Campana",9,10,0.267905169486798,6.22103543346005,2e-04,0.534896502877935,0.5262,9999,2e-04,0.5262,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Lost","Soberanía","Lost vs Soberanía",9,10,0.1445842553738,2.87337748550404,1e-04,3.91107962304147,0.0549,9999,0.00015,0.08235,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Veragua","Campana","Veragua vs Campana",18,10,0.16037608691282,4.96624523758695,1e-04,5.82026426122305,0.0205,9999,0.00015,0.0615,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,0.0954816175433081,2.74457888780925,1e-04,0.937176612598352,0.3395,9999,0.00015,0.4074,"Location effect significant; no FDR-significant dispersion difference"
"CLR-Aitchison","Campana","Soberanía","Campana vs Soberanía",10,10,0.138256962965036,2.88789723434652,1e-04,4.55720701366544,0.0476,9999,0.00015,0.08235,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Lost","Veragua","Lost vs Veragua",9,18,0.283258635697536,9.88008540476816,6e-04,4.76127907827724,0.033,9999,9e-04,0.066,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Lost","Campana","Lost vs Campana",9,10,0.797608739124251,66.9957215862032,1e-04,0.0654081215107754,0.8033,9999,3e-04,0.898,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Lost","Soberanía","Lost vs Soberanía",9,10,0.386436760260394,10.7070054053674,4e-04,3.87919702868297,0.0592,9999,8e-04,0.0888,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Veragua","Campana","Veragua vs Campana",18,10,0.423558447644502,19.1043126467148,1e-04,7.03236956729419,0.0123,9999,3e-04,0.0399,"Location effect significant; dispersion also differs"
"Robust Aitchison","Veragua","Soberanía","Veragua vs Soberanía",18,10,0.190250983839325,6.10871452894849,0.0025,0.0174538875372828,0.898,9999,0.0025,0.898,"Location effect significant; no FDR-significant dispersion difference"
"Robust Aitchison","Campana","Soberanía","Campana vs Soberanía",10,10,0.289865415846667,7.34730796340632,0.001,6.38248345735231,0.0133,9999,0.0012,0.0399,"Location effect significant; dispersion also differs"
