"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220604_01","220604_02","Veragua","Veragua",0.301765745543067,"Veragua vs Veragua"
"220604_01","220604_03","Veragua","Veragua",0.79460129555054,"Veragua vs Veragua"
"220604_02","220604_03","Veragua","Veragua",0.845811987281774,"Veragua vs Veragua"
"220604_01","220604_04","Veragua","Veragua",0.370678708102114,"Veragua vs Veragua"
"220604_02","220604_04","Veragua","Veragua",0.340404829152477,"Veragua vs Veragua"
"220604_03","220604_04","Veragua","Veragua",0.777395509230647,"Veragua vs Veragua"
"220604_01","220604_05","Veragua","Veragua",0.344414492607051,"Veragua vs Veragua"
"220604_02","220604_05","Veragua","Veragua",0.247072674494478,"Veragua vs Veragua"
"220604_03","220604_05","Veragua","Veragua",0.788967268562651,"Veragua vs Veragua"
"220604_04","220604_05","Veragua","Veragua",0.312427070037134,"Veragua vs Veragua"
"220604_01","220604_06","Veragua","Veragua",0.300479459744476,"Veragua vs Veragua"
"220604_02","220604_06","Veragua","Veragua",0.334849725669951,"Veragua vs Veragua"
"220604_03","220604_06","Veragua","Veragua",0.730825935764948,"Veragua vs Veragua"
"220604_04","220604_06","Veragua","Veragua",0.315935554439049,"Veragua vs Veragua"
"220604_05","220604_06","Veragua","Veragua",0.28490499040123,"Veragua vs Veragua"
"220604_01","220604_07","Veragua","Veragua",0.419694601405672,"Veragua vs Veragua"
"220604_02","220604_07","Veragua","Veragua",0.555982556931193,"Veragua vs Veragua"
"220604_03","220604_07","Veragua","Veragua",0.741599151115349,"Veragua vs Veragua"
"220604_04","220604_07","Veragua","Veragua",0.539668302947868,"Veragua vs Veragua"
"220604_05","220604_07","Veragua","Veragua",0.526117558683187,"Veragua vs Veragua"
"220604_06","220604_07","Veragua","Veragua",0.422030779931757,"Veragua vs Veragua"
"220604_01","220606_02","Veragua","Veragua",0.389525701515074,"Veragua vs Veragua"
"220604_02","220606_02","Veragua","Veragua",0.517025110689317,"Veragua vs Veragua"
"220604_03","220606_02","Veragua","Veragua",0.716110612684554,"Veragua vs Veragua"
"220604_04","220606_02","Veragua","Veragua",0.437662748225705,"Veragua vs Veragua"
