"Assemblage","n","S.obs","SC","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"220604_01",1604,16,1,0,0,0,0,0,1,1,0,0,0
"220604_02",1424,12,1,0,0,0,0,0,0,0,0,0,0
"220604_03",20217,37,1,0,0,1,1,0,0,1,1,2,0
"220604_04",3915,21,1,0,0,0,0,0,0,0,0,0,0
"220604_05",4390,22,1,0,0,0,0,0,1,0,0,0,0
"220604_06",3957,22,1,0,0,0,0,0,0,0,0,0,0
"220604_07",15306,40,1,0,0,0,0,0,0,0,0,0,0
"220606_02",3620,22,1,0,0,0,0,0,0,0,0,0,0
"220606_04",1149,8,1,0,0,0,0,0,0,0,0,0,0
"220607_01",601,11,1,0,0,1,0,0,0,0,0,0,0
"220607_02",1855,13,1,0,0,0,0,0,0,0,0,0,0
"220607_03",1353,23,1,0,0,0,0,2,0,0,0,0,0
"220607_04",1776,19,1,0,0,0,0,0,0,0,1,0,0
"220609_01",2779,14,1,0,0,0,0,0,0,0,0,0,0
"220609_02",3907,27,1,0,0,0,0,0,0,0,0,0,1
"220609_03",8956,25,1,0,0,0,0,0,0,0,0,0,0
"220609_04",1056,16,1,0,0,0,0,0,0,0,1,0,0
"220609_07",13876,31,1,0,0,0,0,0,0,0,0,0,0
"220707_11",2479,28,1,0,0,0,0,0,1,1,0,0,0
"220707_12",1120,13,1,0,0,0,0,0,0,0,0,0,1
"220707_13",920,15,1,0,0,0,0,0,0,0,0,0,0
"220707_14",782,20,1,0,0,0,0,0,0,0,2,0,0
"220707_15",265,9,1,0,0,0,0,0,0,1,1,1,0
"220707_16",533,20,1,0,0,1,0,0,0,0,1,0,1
"220707_17",1346,24,1,0,0,1,1,1,0,1,0,0,1
"220707_18",2228,29,1,0,0,0,0,0,0,0,1,0,1
"220707_19",1307,14,1,0,0,0,0,0,0,0,0,0,1
"220707_20",584,14,1,0,0,0,1,0,0,0,0,0,0
"220708_01",1555,25,1,0,0,0,0,0,0,0,0,0,0
"220708_02",3284,17,1,0,0,0,1,0,0,0,0,0,0
"220708_03",1502,20,1,0,0,0,0,0,0,1,1,0,0
"220708_04",11115,25,1,0,0,0,0,0,0,1,0,0,0
"220708_05",1272,16,1,0,0,0,1,0,0,0,2,0,2
"220708_06",2349,22,1,0,0,0,0,0,0,1,0,0,1
"220708_07",4331,25,1,0,0,0,0,0,0,1,0,0,0
"220708_08",1975,26,1,0,0,0,0,0,0,1,0,0,0
"220708_09",2273,23,1,0,0,0,0,0,0,0,0,0,0
"220708_10",13501,28,1,0,0,0,0,0,1,0,0,1,1
"250607_01",10598,24,1,0,0,0,0,0,1,1,0,0,0
"250607_02",13150,22,1,0,0,0,0,0,0,0,0,0,0
"250607_03",8130,23,1,0,1,0,0,0,0,0,0,0,0
"250607_04",1010,11,1,0,0,0,0,2,2,0,0,1,1
"250607_05",2106,15,1,0,0,0,0,0,0,0,0,2,0
"250607_07",16518,27,1,0,0,0,0,0,0,0,0,0,0
"250607_08",9475,22,1,0,0,0,0,0,0,0,1,1,0
"250607_09",3737,18,1,0,0,0,0,0,0,0,0,1,1
"250607_10",14290,17,1,0,0,0,0,0,0,0,0,0,0
