"Metric","Permutation","Statistic","Coefficient_per_10_years"
"Anti-Bd genus Hill D0",1,0.00184051561499601,0.0344248954313686
"Anti-Bd genus Hill D0",2,0.0011738260297078,0.028551475319735
"Anti-Bd genus Hill D0",3,0.00572230143460832,0.0607385062563515
"Anti-Bd genus Hill D0",4,0.000805696656733636,-0.0262368850331784
"Anti-Bd genus Hill D0",5,0.0051589827434642,0.05975802154307
"Anti-Bd genus Hill D0",6,0.000584807696032667,-0.0222891105363455
"Anti-Bd genus Hill D0",7,0.00111268049609821,0.0287237544425428
"Anti-Bd genus Hill D0",8,0.000559731379956512,0.021213800652403
"Anti-Bd genus Hill D0",9,0.00747259885905288,0.0753782465431034
"Anti-Bd genus Hill D0",10,0.00452264707600001,-0.0564830593202365
"Anti-Bd genus Hill D0",11,0.00683808188267457,0.0749347490539724
"Anti-Bd genus Hill D0",12,0.00401057608947952,-0.0530501707523836
"Anti-Bd genus Hill D0",13,0.00186932504834216,0.0381922783365979
"Anti-Bd genus Hill D0",14,0.00498142535247516,-0.0655661800234956
"Anti-Bd genus Hill D0",15,0.00376403482537952,0.054873248435421
"Anti-Bd genus Hill D0",16,0.00763662483978399,-0.0690407073113683
"Anti-Bd genus Hill D0",17,0.000106786523149159,-0.00961437768264585
"Anti-Bd genus Hill D0",18,0.00262326058204584,-0.0401160038956355
"Anti-Bd genus Hill D0",19,0.00116119473190688,0.030790179658232
"Anti-Bd genus Hill D0",20,0.00464275986458714,-0.0620230141330962
"Anti-Bd genus Hill D0",21,0.00275563134710669,0.0480383738761156
"Anti-Bd genus Hill D0",22,0.00722488168440132,-0.0659864560902531
"Anti-Bd genus Hill D0",23,0.000174679522083908,-0.0120818225545709
"Anti-Bd genus Hill D0",24,0.00281319135899264,-0.040923341034153
"Whole community genus Hill D0",1,0.00042208526392224,0.226473290010136
"Whole community genus Hill D0",2,0.0004364160938636,0.22620572774089
"Whole community genus Hill D0",3,6.01866236535035e-05,0.0874861390761869
"Whole community genus Hill D0",4,0.000213961006818376,0.158376661557077
"Whole community genus Hill D0",5,4.94667349722009e-05,0.0792105248205148
"Whole community genus Hill D0",6,0.000180967819782764,0.148098011308789
"Whole community genus Hill D0",7,0.000253215690047616,0.174439963986157
"Whole community genus Hill D0",8,0.000266938209624956,0.175947173398014
"Whole community genus Hill D0",9,9.23393232194278e-06,-0.0317114063734094
"Whole community genus Hill D0",10,5.10601413287743e-05,0.0773716479569583
"Whole community genus Hill D0",11,1.36642263960992e-05,-0.0385292455468828
"Whole community genus Hill D0",12,3.41652460373289e-05,0.0643514096904147
"Whole community genus Hill D0",13,4.24015347521639e-05,-0.073255235844028
"Whole community genus Hill D0",14,8.21958963974497e-07,0.00976340863411691
"Whole community genus Hill D0",15,0.000143831562334508,-0.125526853023627
"Whole community genus Hill D0",16,4.44513631846081e-06,-0.0228303308891096
"Whole community genus Hill D0",17,0.00034715446139944,-0.194200594284279
"Whole community genus Hill D0",18,0.000285205464851459,-0.190201069321967
"Whole community genus Hill D0",19,6.85662535218136e-05,-0.0931534880045686
"Whole community genus Hill D0",20,2.30869065249707e-06,-0.0166563270654301
"Whole community genus Hill D0",21,0.000186011974185252,-0.142750052538878
"Whole community genus Hill D0",22,2.11820956523069e-05,-0.0507357725770919
"Whole community genus Hill D0",23,0.000385456293524389,-0.204878890201446
"Whole community genus Hill D0",24,0.000322824515383796,-0.202617199505089
