"Site","Community","Order_q","n","Hill_mean","Hill_SD","Hill_SE","bd_year"
"Lost Iguana","Anti-Bd",0,9,19.8888888888889,5.01109879279097,1.67036626426366,1985.79445662542
"Veragua","Anti-Bd",0,18,21.0555555555556,8.72098363463409,2.05555555555556,1992.98681788945
"Altos de Campana","Anti-Bd",0,10,18.6,6.73630297550354,2.13020604115606,2007.90134868096
"Soberanía","Anti-Bd",0,10,22.7,3.94546152771341,1.24766448481419,2009.53790614257
"Lost Iguana","Anti-Bd",1,9,5.25756912383157,1.36580766455555,0.455269221518516,1985.79445662542
"Veragua","Anti-Bd",1,18,10.038213960504,3.08529455674241,0.727210901010166,1992.98681788945
"Altos de Campana","Anti-Bd",1,10,12.1622555213075,3.76739888852841,1.19135613421366,2007.90134868096
"Soberanía","Anti-Bd",1,10,10.4609495117467,5.12327525471211,1.62012188848696,2009.53790614257
"Lost Iguana","Anti-Bd",2,9,3.24946340805282,0.632517089257702,0.210839029752567,1985.79445662542
"Veragua","Anti-Bd",2,18,6.62647345663216,2.13447258464924,0.503100012954086,1992.98681788945
"Altos de Campana","Anti-Bd",2,10,9.26264754410547,2.80833331264792,0.888072969689319,2007.90134868096
"Soberanía","Anti-Bd",2,10,7.15357828461729,4.33343309167789,1.37035186576474,2009.53790614257
"Lost Iguana","Whole community",0,9,147.666666666667,69.5251752964349,23.175058432145,1985.79445662542
"Veragua","Whole community",0,18,201.388888888889,96.7818279545402,22.8116956140951,1992.98681788945
"Altos de Campana","Whole community",0,10,270.6,58.332761901963,18.4464389818499,2007.90134868096
"Soberanía","Whole community",0,10,247.4,73.2942319998269,23.1776712472251,2009.53790614257
"Lost Iguana","Whole community",1,9,15.5836152762436,13.1313166866897,4.3771055622299,1985.79445662542
"Veragua","Whole community",1,18,42.9902044242422,16.9293018781752,3.99027471960394,1992.98681788945
"Altos de Campana","Whole community",1,10,48.8938420465153,13.8565988930013,4.38184131252518,2007.90134868096
"Soberanía","Whole community",1,10,32.0495531856745,16.6907124499264,5.27806671126966,2009.53790614257
"Lost Iguana","Whole community",2,9,5.56127782547024,4.0337498671875,1.3445832890625,1985.79445662542
"Veragua","Whole community",2,18,18.3513771519197,7.13654997388882,1.68210096027115,1992.98681788945
"Altos de Campana","Whole community",2,10,17.6072046194964,6.94986217489513,2.19773938969201,2007.90134868096
"Soberanía","Whole community",2,10,10.4673727900548,5.37213881969392,1.69881945768414,2009.53790614257
