"Sample_ID","Site","Anti_Bd_genus_richness","Anti_Bd_ASV_richness"
"220604_01","Veragua",16,21
"220604_02","Veragua",12,18
"220604_03","Veragua",37,59
"220604_04","Veragua",21,33
"220604_05","Veragua",22,35
"220604_06","Veragua",22,35
"220604_07","Veragua",40,75
"220606_02","Veragua",22,33
"220606_04","Veragua",8,10
"220607_01","Veragua",11,14
"220607_02","Veragua",13,23
"220607_03","Veragua",23,30
"220607_04","Veragua",19,27
"220609_01","Veragua",14,23
"220609_02","Veragua",27,40
"220609_03","Veragua",25,57
"220609_04","Veragua",16,21
"220609_07","Veragua",31,56
"220707_11","Altos de Campana",28,40
"220707_12","Altos de Campana",13,17
"220707_13","Altos de Campana",15,17
"220707_14","Altos de Campana",20,23
"220707_15","Altos de Campana",9,10
"220707_16","Altos de Campana",20,22
"220707_17","Altos de Campana",24,30
"220707_18","Altos de Campana",29,39
"220707_19","Altos de Campana",14,18
"220707_20","Altos de Campana",14,17
"220708_01","Soberanía",25,32
"220708_02","Soberanía",17,24
"220708_03","Soberanía",20,23
"220708_04","Soberanía",25,38
"220708_05","Soberanía",16,16
"220708_06","Soberanía",22,29
"220708_07","Soberanía",25,36
"220708_08","Soberanía",26,40
"220708_09","Soberanía",23,32
"220708_10","Soberanía",28,46
"250607_01","Lost Iguana",24,41
"250607_02","Lost Iguana",22,45
"250607_03","Lost Iguana",23,38
"250607_04","Lost Iguana",11,11
"250607_05","Lost Iguana",15,20
"250607_07","Lost Iguana",27,50
"250607_08","Lost Iguana",22,40
"250607_09","Lost Iguana",18,30
"250607_10","Lost Iguana",17,32
