"Sample_ID","Site","anti_reads","non_anti_reads","total_reads","anti_bd_percent","anti_bd_genus_Hill_D1","whole_community_distance_to_centroid","anti_bd_distance_to_centroid","whole_community_robust_distance_to_centroid","anti_bd_robust_distance_to_centroid"
"220604_01","Veragua",1604,10330,11934,13.4405899111781,7.7111904797633,66.26445732009,22.0333201670142,20.0626047811505,3.52009307494952
"220604_02","Veragua",1424,14580,16004,8.89777555611097,4.35811683298273,64.0360149499299,23.9513215912372,21.8899183003222,3.93180167236167
"220604_03","Veragua",20217,49107,69324,29.1630604119785,11.1884332979727,100.423028512368,34.1918384298424,25.4742864369221,13.1836650566934
"220604_04","Veragua",3915,29696,33611,11.6479723899914,8.87867896886875,83.8264244725907,28.3465546078397,19.8357311131354,5.74229584519183
"220604_05","Veragua",4390,39712,44102,9.95419708856741,12.8499487963956,87.2063159458238,27.5953973984395,23.9395290695235,1.78439142971302
"220604_06","Veragua",3957,41915,45872,8.62617718869899,10.9925701567297,90.2787937300846,27.9627762546932,20.5781547816814,5.57473304091163
"220604_07","Veragua",15306,222744,238050,6.42974165091367,11.3399033762966,182.20375581853,39.8900063353059,36.5013432550155,5.91540921271615
"220606_02","Veragua",3620,40718,44338,8.16455410708647,12.7515092638808,104.59678966964,29.2373353046103,20.0294042289852,3.34856350785987
"220606_04","Veragua",1149,4623,5772,19.9064449064449,5.11798908556764,54.8138637745045,15.3474813053309,19.8579288980687,6.24932541355471
"220607_01","Veragua",601,24471,25072,2.39709636247607,7.46553224312721,86.201489358478,18.8838293153219,27.2128255110513,6.45077709764479
"220607_02","Veragua",1855,20059,21914,8.46490827781327,7.0364495149085,82.1916480424246,20.4872668068278,19.265381691006,4.82951819352458
"220607_03","Veragua",1353,47981,49334,2.74253050634451,13.2599381461706,117.465597980061,22.7700471779398,28.7478261635876,2.16608241539391
"220607_04","Veragua",1776,37313,39089,4.54347770472511,10.156394117085,96.4048582396045,23.3716501005029,20.0082815113402,4.77874177771411
"220609_01","Veragua",2779,22643,25422,10.9314766737471,6.17799774987309,65.9600903687861,26.8295867702924,20.2875914699434,7.14313172773806
"220609_02","Veragua",3907,167377,171284,2.28100698255529,12.7574770274123,131.699614008498,26.4562224645739,41.524998766601,4.38845728008294
"220609_03","Veragua",8956,92461,101417,8.83086661999467,15.0052652478962,122.158240576259,35.0291152563638,25.2874341039409,4.16247606237409
"220609_04","Veragua",1056,32245,33301,3.17107594366536,11.6546059076802,100.559562358835,18.878472687641,18.4073806228037,3.03976736690969
"220609_07","Veragua",13876,236702,250578,5.5375970755613,11.9858510764615,157.024735810875,35.956246782798,60.0207859702004,4.29817131210168
"220707_11","Altos de Campana",2479,49329,51808,4.78497529339098,16.7281245532389,115.745991824123,24.3626898854839,24.3273896117222,5.5915207979675
"220707_12","Altos de Campana",1120,32689,33809,3.31272738028336,9.41371425763444,108.020175671436,19.3459501777401,34.3997029406274,3.66782688223227
"220707_13","Altos de Campana",920,35918,36838,2.49742114121288,8.40810715029122,100.507357956871,18.6204625160155,34.1202112944505,6.45597418962513
"220707_14","Altos de Campana",782,26810,27592,2.83415482748623,14.6097339082448,96.9346223456452,17.2422237445406,26.5804962827079,4.18000730312203
"220707_15","Altos de Campana",265,22404,22669,1.16899730910053,7.20379868082563,82.6737096498372,12.5365239113025,28.5897165296977,4.60570846295724
"220707_16","Altos de Campana",533,37567,38100,1.3989501312336,16.5218878238027,107.345435603997,18.7793589191303,36.5332743636233,2.09541552066244
"220707_17","Altos de Campana",1346,78596,79942,1.68372069750569,12.6150679525823,125.161124706954,19.884798504072,45.2778359969875,4.4733078713962
"220707_18","Altos de Campana",2228,110438,112666,1.97752649423961,16.721897709793,148.762738977552,23.7566023323562,46.8066792776081,1.96409700202796
"220707_19","Altos de Campana",1307,39297,40604,3.21889469017831,8.57275618820812,96.4556630002453,18.6642432125011,31.2840810333424,4.90905639135011
"220707_20","Altos de Campana",584,36175,36759,1.58872657036372,10.827466988454,109.421547747213,15.9478553353197,37.2610575814234,2.89279681004816
"220708_01","Soberanía",1555,26809,28364,5.48230150895501,18.8366313142239,94.0672994729977,25.1637357683347,11.5969204053492,2.84007021592336
"220708_02","Soberanía",3284,45503,48787,6.73130137126694,4.28279387863643,91.3110689065437,21.356641882547,18.5133707163245,5.52925193255122
"220708_03","Soberanía",1502,32211,33713,4.45525464954172,11.58478284553,87.5233772475926,24.9687403224969,19.6279890291337,3.7485219202683
"220708_04","Soberanía",11115,76311,87426,12.7136092238007,5.24280111487914,100.016137129243,25.9944532738244,16.3711649887144,8.04509780428846
"220708_05","Soberanía",1272,12991,14263,8.91817990605062,6.27869069597117,64.7441496516075,15.8101886756544,12.7329661922138,4.94001063567743
"220708_06","Soberanía",2349,54397,56746,4.13949881930004,10.7697746359725,94.6944113306045,21.1794078580602,16.928503152103,4.3151408430002
"220708_07","Soberanía",4331,49468,53799,8.05033550809495,8.83410513379373,108.519114619638,23.9793551603359,16.3733610785548,5.178500656907
"220708_08","Soberanía",1975,42702,44677,4.42061911050429,18.3313263077307,101.99891328956,24.5285834666872,19.8413464301225,2.41768965660843
"220708_09","Soberanía",2273,74634,76907,2.95551770319997,13.150870314832,125.991215360352,24.2347423540654,41.2970571237049,4.60046203134925
"220708_10","Soberanía",13501,23268,36769,36.7184312872257,7.297718875897,79.0913219361631,31.0895110650125,12.0372870193353,10.567017542453
"250607_01","Lost Iguana",10598,21133,31731,33.3995146701963,5.97264007243359,74.1566568857273,33.8498498075985,33.6682132636502,10.0726803473216
"250607_02","Lost Iguana",13150,34931,48081,27.3496807470726,5.13311643081232,79.1010921971317,32.6873314453799,34.5377630283847,6.9243538090815
"250607_03","Lost Iguana",8130,41672,49802,16.3246455965624,4.1375459015136,90.9447888394532,26.4265207399468,30.3842640040403,8.48659818233485
"250607_04","Lost Iguana",1010,21665,22675,4.4542447629548,3.69231546691188,52.4722830863183,23.5055306131354,35.867005099085,8.65036947074341
"250607_05","Lost Iguana",2106,32189,34295,6.14083685668465,6.34043771983857,63.979820933701,22.3677732670043,34.4028464777359,5.85802317041501
"250607_07","Lost Iguana",16518,83781,100299,16.4687584123471,7.93071072112828,110.321117306719,33.9306835555046,29.4109336708559,8.05647995030303
"250607_08","Lost Iguana",9475,42303,51778,18.2992776855035,5.15853174289704,87.157229875636,34.2911532698301,31.8215826578701,7.95673232823907
"250607_09","Lost Iguana",3737,21499,25236,14.8082104929466,5.23260216387702,69.5384270560938,26.0156212383532,32.0135629743983,7.0446440508415
"250607_10","Lost Iguana",14290,9775,24065,59.3808435487222,3.72022189507185,63.8833333775005,28.8618672656871,35.738673682331,10.9721124760858
