"Metric","Site_1","Site_2","Mean_distance","Community"
"CLR-Aitchison","Lost","Lost",35.6489948513644,"Whole community"
"CLR-Aitchison","Lost","Veragua",42.8109120295148,"Whole community"
"CLR-Aitchison","Lost","Campana",45.7012699667563,"Whole community"
"CLR-Aitchison","Lost","Soberanía",42.0511438032104,"Whole community"
"CLR-Aitchison","Veragua","Lost",42.8109120295148,"Whole community"
"CLR-Aitchison","Veragua","Veragua",43.1152411214117,"Whole community"
"CLR-Aitchison","Veragua","Campana",46.5012868605959,"Whole community"
"CLR-Aitchison","Veragua","Soberanía",44.8353829244718,"Whole community"
"CLR-Aitchison","Campana","Lost",45.7012699667563,"Whole community"
"CLR-Aitchison","Campana","Veragua",46.5012868605959,"Whole community"
"CLR-Aitchison","Campana","Campana",37.3191155318833,"Whole community"
"CLR-Aitchison","Campana","Soberanía",42.5622230150764,"Whole community"
"CLR-Aitchison","Soberanía","Lost",42.0511438032104,"Whole community"
"CLR-Aitchison","Soberanía","Veragua",44.8353829244718,"Whole community"
"CLR-Aitchison","Soberanía","Campana",42.5622230150764,"Whole community"
"CLR-Aitchison","Soberanía","Soberanía",40.6257185393713,"Whole community"
"Robust Aitchison","Lost","Lost",7.01164141022152,"Whole community"
"Robust Aitchison","Lost","Veragua",13.677595498972,"Whole community"
"Robust Aitchison","Lost","Campana",20.2188050846479,"Whole community"
"Robust Aitchison","Lost","Soberanía",14.2149576005669,"Whole community"
"Robust Aitchison","Veragua","Lost",13.677595498972,"Whole community"
"Robust Aitchison","Veragua","Veragua",11.3549440806018,"Whole community"
"Robust Aitchison","Veragua","Campana",15.9357094067218,"Whole community"
"Robust Aitchison","Veragua","Soberanía",13.875340404538,"Whole community"
"Robust Aitchison","Campana","Lost",20.2188050846479,"Whole community"
"Robust Aitchison","Campana","Veragua",15.9357094067218,"Whole community"
"Robust Aitchison","Campana","Campana",6.32964368596656,"Whole community"
"Robust Aitchison","Campana","Soberanía",11.5328197614358,"Whole community"
"Robust Aitchison","Soberanía","Lost",14.2149576005669,"Whole community"
"Robust Aitchison","Soberanía","Veragua",13.875340404538,"Whole community"
"Robust Aitchison","Soberanía","Campana",11.5328197614358,"Whole community"
"Robust Aitchison","Soberanía","Soberanía",10.9865043730516,"Whole community"
"CLR-Aitchison","Lost","Lost",12.2352394392572,"Anti-Bd community"
"CLR-Aitchison","Lost","Veragua",15.6715975148953,"Anti-Bd community"
"CLR-Aitchison","Lost","Campana",15.9552263406173,"Anti-Bd community"
"CLR-Aitchison","Lost","Soberanía",15.3147317630063,"Anti-Bd community"
"CLR-Aitchison","Veragua","Lost",15.6715975148953,"Anti-Bd community"
"CLR-Aitchison","Veragua","Veragua",14.2512255989384,"Anti-Bd community"
"CLR-Aitchison","Veragua","Campana",13.6693627208298,"Anti-Bd community"
"CLR-Aitchison","Veragua","Soberanía",15.7486926294595,"Anti-Bd community"
"CLR-Aitchison","Campana","Lost",15.9552263406173,"Anti-Bd community"
"CLR-Aitchison","Campana","Veragua",13.6693627208298,"Anti-Bd community"
"CLR-Aitchison","Campana","Campana",11.0869824146254,"Anti-Bd community"
"CLR-Aitchison","Campana","Soberanía",14.1555126794097,"Anti-Bd community"
"CLR-Aitchison","Soberanía","Lost",15.3147317630063,"Anti-Bd community"
"CLR-Aitchison","Soberanía","Veragua",15.7486926294595,"Anti-Bd community"
"CLR-Aitchison","Soberanía","Campana",14.1555126794097,"Anti-Bd community"
"CLR-Aitchison","Soberanía","Soberanía",14.1790667374998,"Anti-Bd community"
"Robust Aitchison","Lost","Lost",5.09019137996378,"Anti-Bd community"
"Robust Aitchison","Lost","Veragua",5.44609923595609,"Anti-Bd community"
"Robust Aitchison","Lost","Campana",6.17001150427665,"Anti-Bd community"
"Robust Aitchison","Lost","Soberanía",6.57996976020819,"Anti-Bd community"
"Robust Aitchison","Veragua","Lost",5.44609923595609,"Anti-Bd community"
"Robust Aitchison","Veragua","Veragua",4.84980560796319,"Anti-Bd community"
"Robust Aitchison","Veragua","Campana",4.57716629644616,"Anti-Bd community"
"Robust Aitchison","Veragua","Soberanía",5.30162490888075,"Anti-Bd community"
"Robust Aitchison","Campana","Lost",6.17001150427665,"Anti-Bd community"
"Robust Aitchison","Campana","Veragua",4.57716629644616,"Anti-Bd community"
"Robust Aitchison","Campana","Campana",3.63274929332182,"Anti-Bd community"
"Robust Aitchison","Campana","Soberanía",4.78220596164931,"Anti-Bd community"
"Robust Aitchison","Soberanía","Lost",6.57996976020819,"Anti-Bd community"
"Robust Aitchison","Soberanía","Veragua",5.30162490888075,"Anti-Bd community"
"Robust Aitchison","Soberanía","Campana",4.78220596164931,"Anti-Bd community"
"Robust Aitchison","Soberanía","Soberanía",5.35726429291137,"Anti-Bd community"
