"Metric","Pair","Site_1","Site_2","N_cross_sample_pairs","Whole_mean_distance","Anti_Bd_mean_distance","Difference_AntiBd_minus_whole","Whole_reference_within_distance","Anti_Bd_reference_within_distance","Whole_between_within_ratio","Anti_Bd_between_within_ratio","Ratio_difference_AntiBd_minus_whole","Inference_note"
"CLR-Aitchison","Campana vs Soberanía","Campana","Soberanía",100,42.5622230150764,14.1555126794097,-28.4067103356667,38.9724170356273,12.6330245760626,1.09211145349716,1.12051651559611,0.0284050620989513,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Campana vs Soberanía","Campana","Soberanía",100,11.5328197614358,4.78220596164931,-6.75061379978649,8.65807402950908,4.49500679311659,1.33203062507075,1.06389293314807,-0.26813769192268,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"CLR-Aitchison","Lost vs Campana","Lost","Campana",90,45.7012699667563,15.9552263406173,-29.746043626139,36.4840551916239,11.6611109269413,1.25263679507997,1.36824239479234,0.115605599712375,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Lost vs Campana","Lost","Campana",90,20.2188050846479,6.17001150427665,-14.0487935803712,6.67064254809404,4.3614703366428,3.03101312038147,1.41466318191813,-1.61634993846334,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"CLR-Aitchison","Lost vs Soberanía","Lost","Soberanía",90,42.0511438032104,15.3147317630063,-26.7364120402041,38.1373566953678,13.2071530883785,1.10262344973473,1.15957857537688,0.0569551256421497,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Lost vs Soberanía","Lost","Soberanía",90,14.2149576005669,6.57996976020819,-7.63498784035871,8.99907289163656,5.22372783643758,1.57960245146784,1.25963104630189,-0.319971405165947,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"CLR-Aitchison","Lost vs Veragua","Lost","Veragua",162,42.8109120295148,15.6715975148953,-27.1393145146195,39.382117986388,13.2432325190978,1.08706474457041,1.18336648490432,0.0963017403339035,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Lost vs Veragua","Lost","Veragua",162,13.677595498972,5.44609923595609,-8.23149626301591,9.18329274541166,4.96999849396349,1.48939992202752,1.09579494693426,-0.393604975093254,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"CLR-Aitchison","Veragua vs Campana","Veragua","Campana",180,46.5012868605959,13.6693627208298,-32.8319241397661,40.2171783266475,12.6691040067819,1.15625433696288,1.07895260102944,-0.0773017359334469,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Veragua vs Campana","Veragua","Campana",180,15.9357094067218,4.57716629644616,-11.3585431102756,8.84229388328418,4.2412774506425,1.8022144046634,1.07919520703668,-0.723019197626713,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"CLR-Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,44.8353829244718,15.7486926294595,-29.0866902950123,41.8704798303915,14.2151461682191,1.07081129965767,1.10788116021409,0.037069860556423,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
"Robust Aitchison","Veragua vs Soberanía","Veragua","Soberanía",180,13.875340404538,5.30162490888075,-8.57371549565725,11.1707242268267,5.10353495043728,1.24211645751814,1.0388142650863,-0.203302192431836,"Descriptive cross-sample-pair means; pairs sharing a frog are non-independent; distance scales are metric-specific"
