"Site_1","Site_2","Distance","Community"
"Lost","Lost",0.521943065759214,"Whole community"
"Veragua","Lost",0.693560514568279,"Whole community"
"Campana","Lost",0.735295935315807,"Whole community"
"Soberanía","Lost",0.688097758464916,"Whole community"
"Lost","Veragua",0.693560514568279,"Whole community"
"Veragua","Veragua",0.544976773766159,"Whole community"
"Campana","Veragua",0.603531333813254,"Whole community"
"Soberanía","Veragua",0.633863078592225,"Whole community"
"Lost","Campana",0.735295935315807,"Whole community"
"Veragua","Campana",0.603531333813254,"Whole community"
"Campana","Campana",0.429366371321628,"Whole community"
"Soberanía","Campana",0.54017499758422,"Whole community"
"Lost","Soberanía",0.688097758464916,"Whole community"
"Veragua","Soberanía",0.633863078592225,"Whole community"
"Campana","Soberanía",0.54017499758422,"Whole community"
"Soberanía","Soberanía",0.500330001311045,"Whole community"
"Lost","Lost",0.498310366326909,"Anti-Bd community"
"Veragua","Lost",0.627668080030287,"Anti-Bd community"
"Campana","Lost",0.767167226783391,"Anti-Bd community"
"Soberanía","Lost",0.712661179621669,"Anti-Bd community"
"Lost","Veragua",0.627668080030287,"Anti-Bd community"
"Veragua","Veragua",0.581742058222341,"Anti-Bd community"
"Campana","Veragua",0.671165908862377,"Anti-Bd community"
"Soberanía","Veragua",0.746782482593526,"Anti-Bd community"
"Lost","Campana",0.767167226783391,"Anti-Bd community"
"Veragua","Campana",0.671165908862377,"Anti-Bd community"
"Campana","Campana",0.604589559077049,"Anti-Bd community"
"Soberanía","Campana",0.734978490623175,"Anti-Bd community"
"Lost","Soberanía",0.712661179621669,"Anti-Bd community"
"Veragua","Soberanía",0.746782482593526,"Anti-Bd community"
"Campana","Soberanía",0.734978490623175,"Anti-Bd community"
"Soberanía","Soberanía",0.657737187655795,"Anti-Bd community"
